row_label_raw,row_label_full,Tên đối tượng,Số cuối nămNgàn VND,Nguyên tệ > Ngàn LAK,Nguyên tệ > Ngàn VND,Thời hạn thanh toánvà ngày đáo hạn,Lãi suất Tài sản thế chấp,Lãi suất Tài sản thế chấp_1,numeric__Số cuối nămNgàn VND,numeric__Nguyên tệ > Ngàn LAK,numeric__Nguyên tệ > Ngàn VND,numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất Tài sản thế chấp,numeric__Lãi suất Tài sản thế chấp_1
Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,,,,,,
Ông Đỗ Mai Anh Tuấn,Vay ngắn hạn khác > Ông Đỗ Mai Anh Tuấn,Ông Đỗ Mai Anh Tuấn,75.524.199,27.766.249,-,Hoàn trả trong vòng 9 tháng kể tửngày 1 tháng 12 năm 2015,Không lãi suất,Tín chấp,75524199.0,27766249.0,,,,
Công ty Cổ Phần Địa ốc Nhật Hoa,Vay ngắn hạn khác > Công ty Cổ Phần Địa ốc Nhật Hoa,Công ty Cổ Phần Địa ốc Nhật Hoa,47.322.487,-,47.322.487,Hoàn trả trong vòng 6 tháng kể tửngày 23 tháng 11 năm 2016,"5,5% - 13%/năm",Tín chấp,47322487.0,,47322487.0,,,
Bà Trần Thị Hữu Duyên,Vay ngắn hạn khác > Bà Trần Thị Hữu Duyên,Bà Trần Thị Hữu Duyên,24.581.000,-,24.581.000,Ngày 27 tháng 8 năm 2016,7%/năm,Tín chấp,24581000.0,,24581000.0,,,
Công ty Cổ phần Cảnh Hưng Đại Thành,Vay ngắn hạn khác > Công ty Cổ phần Cảnh Hưng Đại Thành,Công ty Cổ phần Cảnh Hưng Đại Thành,18.000.000,-,18.000.000,Ngày 26 tháng 10 năm 2016,9%/năm,Tín chấp,18000000.0,,18000000.0,,,
Các cá nhân khác và công ty (*),Vay ngắn hạn khác > Các cá nhân khác và công ty (*),Các cá nhân khác và công ty (*),26.599.300,-,26.599.300,Từ ngày 3 tháng 3 năm 2016 đếnngày 8 tháng 6 năm 2017,5 - 11%/năm,Tín chấp,26599300.0,,26599300.0,,,
Tổng cộng vay ngắn hạn khác,Vay ngắn hạn khác > Tổng cộng vay ngắn hạn khác,Tổng cộng vay ngắn hạn khác,192.026.986,,,,,,192026986.0,,,,,
Trong đó:Vay bên liên quan (TM số 36),Vay ngắn hạn khác > Trong đó:Vay bên liên quan (TM số 36),Trong đó:Vay bên liên quan (TM số 36),7.823.000,,,,,,7823000.0,,,,,
Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,Vay dài hạn khác,,,,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Vay dài hạn khác > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,298.000.000,-,298.000.000,Ngày 28 tháng 9 năm 2018,6%/năm,Tín chấp,298000000.0,,298000000.0,,,
Cá nhân khác,Vay dài hạn khác > Cá nhân khác,Cá nhân khác,15.086.952,-,15.086.952,Hoàn trả khi có yêu cầu,Không lãi suất,Tín chấp,15086952.0,,15086952.0,,,
Tổng cộng vay dài hạn khác,Vay dài hạn khác > Tổng cộng vay dài hạn khác,Tổng cộng vay dài hạn khác,313.086.952,,,,,,313086952.0,,,,,
Trong đó:Vay bên liên quan (TM số 36),Vay dài hạn khác > Trong đó:Vay bên liên quan (TM số 36),Trong đó:Vay bên liên quan (TM số 36),298.000.000,,,,,,298000000.0,,,,,
