row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệsở hữu(%),Số cuối năm > Giá trị ghi sốNgàn VND,Số đầu năm > Tỷ lệsở hữu(%),Số đầu năm > Giá trị ghi sốNgàn VND,numeric__Số cuối năm > Tỷ lệsở hữu(%),numeric__Số cuối năm > Giá trị ghi sốNgàn VND,numeric__Số đầu năm > Tỷ lệsở hữu(%),numeric__Số đầu năm > Giá trị ghi sốNgàn VND
Công ty Cổ phần Truyền thông Thanh niên,Công ty Cổ phần Truyền thông Thanh niên,Công ty Cổ phần Truyền thông Thanh niên,"2,00",6.200.000,"2,00",6.200.000,2.0,6200000.0,2.0,6200000.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,-,-,"4,90",39.200.000,,,4.9,39200000.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (i),Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (i),Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (i),-,-,"19,26",24.636.246,,,19.26,24636246.0
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,-,5.901.903,-,5.901.903,,5901903.0,,5901903.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,12.101.903,,75.938.149,,12101903.0,,75938149.0
