row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Ngàn VND,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Ngàn VND
,,,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,,,,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.899.679.470,3.539.078.784,(686.640),670.143,249.756.283,2.517.123.517,14.205.621.557,7899679470.0,3539078784.0,-686640.0,670143.0,249756283.0,2517123517.0,14205621557.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,502.343.207,502.343.207,,,,,,502343207.0,502343207.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,554.407.110,-,-,554.407.110,,,,554407110.0,,,554407110.0
"Thù lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban thư ký","Năm trước > Thù lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban thư ký","Thù lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban thư ký",-,-,-,-,-,(737.400),(737.400),,,,,,-737400.0,-737400.0
Trích lập quỹ dự phòng tài chính và quỹ phúc lợi,Năm trước > Trích lập quỹ dự phòng tài chính và quỹ phúc lợi,Trích lập quỹ dự phòng tài chính và quỹ phúc lợi,-,-,-,-,30.139.020,(48.249.432),(18.110.412),,,,,30139020.0,-48249432.0,-18110412.0
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Năm trước > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,-,-,-,-,-,(946.576.643),(946.576.643),,,,,,-946576643.0,-946576643.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.899.679.470,3.539.078.784,(686.640),555.077.253,279.895.303,2.023.903.249,14.296.947.419,7899679470.0,3539078784.0,-686640.0,555077253.0,279895303.0,2023903249.0,14296947419.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.899.679.470,3.539.078.784,(686.640),555.077.253,279.895.303,2.023.903.249,14.296.947.419,7899679470.0,3539078784.0,-686640.0,555077253.0,279895303.0,2023903249.0,14296947419.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(1.136.650.486),(1.136.650.486),,,,,,-1136650486.0,-1136650486.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,95.062.106,-,-,95.062.106,,,,95062106.0,,,95062106.0
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Năm nay > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,-,-,-,-,-,503.902.364,503.902.364,,,,,,503902364.0,503902364.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.899.679.470,3.539.078.784,(686.640),650.139.359,279.895.303,1.391.155.127,13.759.261.403,7899679470.0,3539078784.0,-686640.0,650139359.0,279895303.0,1391155127.0,13759261403.0
