row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngân VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngân VNDNăm trước
Bà Nguyễn Thị Ngọc Trang,Bà Nguyễn Thị Ngọc Trang,Bà Nguyễn Thị Ngọc Trang,Bên liên quan,Mua cổ phần CSTN,3.277.487.120,-,,,3277487120.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Cho vayBán hàng và cung cấp dịch vụMua hàng hóa và dịch vụThu hồi tiền cho vayMua tài sảnLãi cho vay,598.278.514177.804.404-88.105.382216.854.465,1.719.085.3981.111.024.0401.148.449.076512.697.837305.043.871154.943.197,,,,1.7190853981111024e+56
Công ty Cổ phần Đầu tư Bắt động sản An Phú,Công ty Cổ phần Đầu tư Bắt động sản An Phú,Công ty Cổ phần Đầu tư Bắt động sản An Phú,Công ty liên quan,Lãi cho vayMua cổ phần CNGLThu hồi tiền cho vayCho vay,347.028.384550.000.000-,374.596.730-739.740.000965.478.783,,,,
Ông Đoàn Nguyên Đức,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chữ tịch,Lãi cho vayCho vay,81.762.040-,14.548.178697.320.000,,,,1.454817869732e+16
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,"Cho vayLãi cho vayCung cấp hàng hóa, dịch vụ",7.913.439771.957,54.140.3862.492.768-,,,7913439771957.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,"Cho vayLãi cho vayCung cấp hàng hóa, dịch vụ",16.222.042903.707,42.869.945-,,,16222042903707.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,Lãi cho vay,30.469.444,28.743.750,,,30469444.0,28743750.0
Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty liên quan,Lãi cho vay,2.106.001,-,,,2106001.0,
Bà Nguyễn Thị Nga,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Bà Nguyễn Thị Nga,Bà Nguyễn Thị Nga,Bên liên quan,Bán cổ phầnLãi cho vay,24.636.250839.583,-,,,24636250839583.0,
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,Lãi cho vayCho vay,15.119.538-,1.585.24872.533.690,,,,158524872533690.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty Cổ phần Đầu tư Bắt động sản An Phú > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,"Cung cấp hàng hóa, dịch vụChuyển nhượng tài sảnMua hàng hóa",59.194.401173.143.07038.785.483,-,,,5.919440117314307e+24,
