row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,176.199.117,180.631.718,176199117.0,180631718.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,162.033.597,161.694.345,162033597.0,161694345.0
Các khoản bồi thường nhận được,Các khoản bồi thường nhận được,Các khoản bồi thường nhận được,-,2.672.268,,2672268.0
Các khoản khác,Các khoản khác,Các khoản khác,14.165.520,16.265.105,14165520.0,16265105.0
Chi phí khác,Chi phí khác,Chi phí khác,(1.206.015.281),(615.325.413),-1206015281.0,-615325413.0
Lỗ từ đánh giá lại các tài sản không hiệu quả,Lỗ từ đánh giá lại các tài sản không hiệu quả,Lỗ từ đánh giá lại các tài sản không hiệu quả,(523.453.281),(544.622.373),-523453281.0,-544622373.0
Lỗ từ thanh lý tài sản dài hạn khác,Lỗ từ thanh lý tài sản dài hạn khác,Lỗ từ thanh lý tài sản dài hạn khác,(402.427.821),-,-402427821.0,
Chi phí thay đổi mục đích sử dụng tài sản,Chi phí thay đổi mục đích sử dụng tài sản,Chi phí thay đổi mục đích sử dụng tài sản,(207.046.655),-,-207046655.0,
Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,(25.629.519),(1.581.124),-25629519.0,-1581124.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,(11.525.716),(11.281.615),-11525716.0,-11281615.0
Các khoản khác,Các khoản khác,Các khoản khác,(35.932.289),(57.840.301),-35932289.0,-57840301.0
Lỗ KHÁC,Lỗ KHÁC,Lỗ KHÁC,(1.029.816.164),(434.693.695),-1029816164.0,-434693695.0
