row_label_raw,row_label_full,Số đầu năm (Trình bày trước đây) > Số đầu năm (Trình bày lại),479.247.555 > 1.078.228.406,numeric__479.247.555 > 1.078.228.406
Tăng từ mua công ty con (i),Tăng từ mua công ty con (i),Tăng từ mua công ty con (i),2.135.505.198,2135505198.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(17.592.789),-17592789.0
Số cuối năm,Số cuối năm,Số cuối năm,3.196.140.815,3196140815.0
