row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu(%),Số cuối năm > Giá trị ghi sốNgàn VND,Số đầu năm > Tỷ lệ sở hữu(%),Số đầu năm > Giá trị ghi sốNgàn VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu(%),numeric__Số cuối năm > Giá trị ghi sốNgàn VND,numeric__Số đầu năm > Tỷ lệ sở hữu(%),numeric__Số đầu năm > Giá trị ghi sốNgàn VND
"Công ty Cổ phần Chăn nuôi Gia Lai (""CNGL"") (I)","Công ty Cổ phần Chăn nuôi Gia Lai (""CNGL"") (I)","Công ty Cổ phần Chăn nuôi Gia Lai (""CNGL"") (I)",Chăn nuôi và cây ăn quả,"23,46",599.017.484,-,-,,23.46,599017484.0,,
Công ty Cổ phần Cao su Bidiphar,Công ty Cổ phần Cao su Bidiphar,Công ty Cổ phần Cao su Bidiphar,Trồng cây cao su,"49,14",259.139.025,"47,80",244.809.722,,49.14,259139025.0,47.8,244809722.0
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tư vấn và thiết kế,"25,00",7.609.521,"25,00",7.489.918,,25.0,7609521.0,25.0,7489918.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,865.766.030,,252.299.640,,,865766030.0,,252299640.0
