row_label_raw,row_label_full,Số đầu năm (Trình bày trước đây) > Số đầu năm (Trình bày lại - TM số 40) > Mua công ty con(Lỗ) lợi nhuận trong năm,Năm nay > 1.968.772.863 > 1.758.600.771 > (700.673.539) > (366.136.192),Ngàn VNDNăm trước > 1.149.582.771 > 254.895.298 > 100.017.738,numeric__Năm nay > 1.968.772.863 > 1.758.600.771 > (700.673.539) > (366.136.192),numeric__Ngàn VNDNăm trước > 1.149.582.771 > 254.895.298 > 100.017.738
Thanh lý công ty conCổ tức phải trả,Thanh lý công ty conCổ tức phải trả,Thanh lý công ty conCổ tức phải trả,(5.021.563),(8.652.537),-5021563.0,-8652537.0
Thanh lý công ty conCổ tức phải trả,Thanh lý công ty conCổ tức phải trả,Thanh lý công ty conCổ tức phải trả,(825.000),(602.955),-825000.0,-602955.0
"Công ty con phát hành cổ phần mới, bán cổ phần hiện hữu của công ty con","Công ty con phát hành cổ phần mới, bán cổ phần hiện hữu của công ty con","Công ty con phát hành cổ phần mới, bán cổ phần hiện hữu của công ty con",2.204.568.542,263.360.456,2204568542.0,263360456.0
Số cuối năm,Số cuối năm,Số cuối năm,2.890.513.019,1.758.600.771,2890513019.0,1758600771.0
