row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,4.224.000.000.000,449.306.520.458,(28.633.216.069),70.104.106.264,1.034.827.684.024,50.440.761.878,5.800.045.856.555,4224000000000.0,449306520458.0,-28633216069.0,70104106264.0,1034827684024.0,50440761878.0,5800045856555.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.367.461.151.012,5.690.505.164,1.373.151.656.176,,,,,1367461151012.0,5690505164.0,1373151656176.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(675.840.000.000),(1.440.000.000),(677.280.000.000),,,,,-675840000000.0,-1440000000.0,-677280000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,6.560.496.909,-,(6.560.496.909),-,-,-,,6560496909.0,,-6560496909.0,,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,210.000.000,(300.000.000),90.000.000,-,,,,210000000.0,-300000000.0,90000000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(17.655.324.950),(110.389.800),(17.765.714.750),,,,,-17655324950.0,-110389800.0,-17765714750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,28.633.216.069,-,-,-,28.633.216.069,,,28633216069.0,,,,28633216069.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,4.224.000.000.000,455.867.017.367,-,63.753.609.355,1.708.493.510.086,54.670.877.242,6.506.785.014.050,4224000000000.0,455867017367.0,,63753609355.0,1708493510086.0,54670877242.0,6506785014050.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.496.872.518.578,7.664.401.627,1.504.536.920.205,,,,,1496872518578.0,7664401627.0,1504536920205.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(1.478.400.000.000),(4.800.000.000),(1.483.200.000.000),,,,,-1478400000000.0,-4800000000.0,-1483200000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,7.223.810.000,-,(7.223.810.000),-,-,-,,7223810000.0,,-7223810000.0,,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(34.946.038.000),(297.855.000),(35.243.893.000),,,,,-34946038000.0,-297855000.0,-35243893000.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,4.224.000.000.000,463.090.827.367,-,56.529.799.355,1.692.019.990.664,57.237.423.869,6.492.878.041.255,4224000000000.0,463090827367.0,,56529799355.0,1692019990664.0,57237423869.0,6492878041255.0
