row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,9.316.035.077.314,5.907.636.821.225,84.285.607.082,53.309.423.287,253.880.507,15.361.520.809.415,9316035077314.0,5907636821225.0,84285607082.0,53309423287.0,253880507.0,15361520809415.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.760.527.254,11.654.199.589,66.933.524,87.355.402,-,13.569.015.769,1760527254.0,11654199589.0,66933524.0,87355402.0,,13569015769.0
Điều chỉnh khác (*),Nguyên giá > Điều chỉnh khác (*),Điều chỉnh khác (*),2.276.674.885,1.957.234.666,-,-,-,4.233.909.551,2276674885.0,1957234666.0,,,,4233909551.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(2.890.466.417),(5.003.971.586),(1.062.795.826),(36.500.000),(8.993.733.829),,-2890466417.0,-5003971586.0,-1062795826.0,-36500000.0,-8993733829.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,9.320.072.279.453,5.918.357.789.063,79.348.569.020,52.333.982.863,217.380.507,15.370.330.000.906,9320072279453.0,5918357789063.0,79348569020.0,52333982863.0,217380507.0,15370330000906.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.120.780.156.190,4.488.879.261.306,58.134.694.656,49.184.991.892,253.880.507,9.717.232.984.551,5120780156190.0,4488879261306.0,58134694656.0,49184991892.0,253880507.0,9717232984551.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,204.321.572.232,164.908.004.221,4.710.878.032,2.302.306.510,-,376.242.760.995,204321572232.0,164908004221.0,4710878032.0,2302306510.0,,376242760995.0
Điều chỉnh khác (*),Giá trị hao mòn lũy kế > Điều chỉnh khác (*),Điều chỉnh khác (*),(12.955.567.847),260.964.622,-,-,-,(12.694.603.225),-12955567847.0,260964622.0,,,,-12694603225.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.890.466.417),(5.003.971.586),(1.062.795.826),(36.500.000),(8.993.733.829),,-2890466417.0,-5003971586.0,-1062795826.0,-36500000.0,-8993733829.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.312.146.160.575,4.651.157.763.732,57.841.601.102,50.424.502.576,217.380.507,10.071.787.408.492,5312146160575.0,4651157763732.0,57841601102.0,50424502576.0,217380507.0,10071787408492.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.195.254.921.124,1.418.757.559.919,26.150.912.426,4.124.431.395,-,5.644.287.824.864,4195254921124.0,1418757559919.0,26150912426.0,4124431395.0,,5644287824864.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.007.926.118.878,1.267.200.025.331,21.506.967.918,1.909.480.287,-,5.298.542.592.414,4007926118878.0,1267200025331.0,21506967918.0,1909480287.0,,5298542592414.0
