row_label_raw,row_label_full,col_0,1/1/2022VND,Số phải nộp trong năm VND,Số đã nộp/cấn trừ trong năm VND,31/12/2022VND,numeric__1/1/2022VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp/cấn trừ trong năm VND,numeric__31/12/2022VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,38.457.996.594,227.919.720.783,(244.243.680.087),22.134.037.290,38457996594.0,227919720783.0,-244243680087.0,22134037290.0
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,135.934.815.846,323.002.521.905,(392.493.477.328),66.443.860.423,135934815846.0,323002521905.0,-392493477328.0,66443860423.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,763.546.551,15.550.224.181,(13.579.599.307),2.734.171.425,763546551.0,15550224181.0,-13579599307.0,2734171425.0
Thuế tài nguyên,Thuế > Thuế tài nguyên,Thuế tài nguyên,54.734.736.849,288.373.295.943,(290.494.252.031),52.613.780.761,54734736849.0,288373295943.0,-290494252031.0,52613780761.0
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,-,414.704.471,(414.704.471),-,,414704471.0,-414704471.0,
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,
Phí dịch vụ môi trường rừng,Các khoản phải nộp khác > Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,35.209.486.908,112.269.721.464,(124.587.158.580),22.892.049.792,35209486908.0,112269721464.0,-124587158580.0,22892049792.0
Phí cấp quyền khai thác tài nguyên nước,Các khoản phải nộp khác > Phí cấp quyền khai thác tài nguyên nước,Phí cấp quyền khai thác tài nguyên nước,-,31.054.152.000,(31.054.152.000),-,,31054152000.0,-31054152000.0,
,,,265.100.582.748,998.584.340.747,(1.096.867.023.804),166.817.899.691,265100582748.0,998584340747.0,-1096867023804.0,166817899691.0
