row_label_raw,row_label_full,Số lượng,% lợi ích kinh tế,% quyền biểu quyết,Giá trị ghi số VND,Dự phòng VND,Giá trị hợp lý VND,numeric__% lợi ích kinh tế,numeric__% quyền biểu quyết,numeric__Giá trị ghi số VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND
2.052.000,2.052.000,2.052.000,"24,00%","24,00%",51.735.168.730,-,(*),0.24,0.24,51735168730.0,,
3.065.500,3.065.500,3.065.500,"12,09%","12,51%",46.982.649.018,-,(*),0.1209,0.1251,46982649018.0,,
4.385.820,4.385.820,4.385.820,"31,33%","31,33%",45.000.367.318,-,(*),0.31329999999999997,0.31329999999999997,45000367318.0,,
1.180.000,1.180.000,1.180.000,1(d)(v),1(d)(v),11.800.000.000,-,(*),,,11800000000.0,,
100.000,100.000,100.000,1(d)(vii),1(d)(vii),1.000.000.000,-,(*),,,1000000000.0,,
19.527.468,19.527.468,19.527.468,"39,05%","39,05%",490.662.403.731,-,(*),0.39049999999999996,0.39049999999999996,490662403731.0,,
,,,,,647.180.588.797,-,,,,647180588797.0,,
