row_label_raw,row_label_full,Tên công ty liên kết > Công ty Cổ phần May Tiến Phát (Thuyết minh 7(b)(i)),Hoạt động chính > Bất động sản,"Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 31/12/2017 > 12,09%","Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 1/1/2017 > 15,49%",numeric__Hoạt động chính > Bất động sản,"numeric__Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 31/12/2017 > 12,09%","numeric__Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 1/1/2017 > 15,49%"
Công ty Cổ phần Đầu tư Xây dựng Idico – Long An,Công ty Cổ phần Đầu tư Xây dựng Idico – Long An,Công ty Cổ phần Đầu tư Xây dựng Idico – Long An,Sản xuất; thương mại; dịch vụ,"24,00%","24,00%",,0.24,0.24
Công ty Cổ phần Bao bì và Kho bãi Bình Tây (iv),Công ty Cổ phần Bao bì và Kho bãi Bình Tây (iv),Công ty Cổ phần Bao bì và Kho bãi Bình Tây (iv),Sản xuất; thương mại; dịch vụ,"31,33%","49,18%",,0.31329999999999997,0.4918
Công ty Cổ phần Đầu tư Địa ốc Kim Thành (v),Công ty Cổ phần Đầu tư Địa ốc Kim Thành (v),Công ty Cổ phần Đầu tư Địa ốc Kim Thành (v),Bất động sản,"60,00%","60,00%",,0.6,0.6
Công ty Cổ phần Thương mại Toàn Lực (vi),Công ty Cổ phần Thương mại Toàn Lực (vi),Công ty Cổ phần Thương mại Toàn Lực (vi),Thương mại,-,"22,37%",,,0.2237
Công ty Cổ phần Đầu tư SVG (vii),Công ty Cổ phần Đầu tư SVG (vii),Công ty Cổ phần Đầu tư SVG (vii),Bất động sản,"99,55%",-,,0.9954999999999999,
Công ty Cổ phần Khu Công nghiệp Thành Thành Công (viii),Công ty Cổ phần Khu Công nghiệp Thành Thành Công (viii),Công ty Cổ phần Khu Công nghiệp Thành Thành Công (viii),Dịch vụ,"39,05%",-,,0.39049999999999996,
