row_label_raw,row_label_full,col_0,Phần mềmvi tínhVND,WebsiteCông tyVND,Quyền thuê đấtVND,TổngVND,numeric__Phần mềmvi tínhVND,numeric__WebsiteCông tyVND,numeric__Quyền thuê đấtVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.326.007.653,111.561.227,119.454.114.181,125.891.683.061,6326007653.0,111561227.0,119454114181.0,125891683061.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,969.487.000,-,-,969.487.000,969487000.0,,,969487000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.295.494.653,111.561.227,119.454.114.181,126.861.170.061,7295494653.0,111561227.0,119454114181.0,126861170061.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.011.770.852,111.561.227,682.049.299,4.805.381.378,4011770852.0,111561227.0,682049299.0,4805381378.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,525.051.712,-,3.213.782.314,3.738.834.026,525051712.0,,3213782314.0,3738834026.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.536.822.564,111.561.227,3.895.831.613,8.544.215.404,4536822564.0,111561227.0,3895831613.0,8544215404.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.314.236.801,-,118.772.064.882,121.086.301.683,2314236801.0,,118772064882.0,121086301683.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.758.672.089,-,115.558.282.568,118.316.954.657,2758672089.0,,115558282568.0,118316954657.0
