row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2017VND,2016VND,,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,
Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,,
Góp vốn,Công ty Cổ phần Bao bì và Kho bãi Bình Tây > Góp vốn,Góp vốn,-,3.000.000.000,,3000000000.0
Vay,Công ty Cổ phần Bao bì và Kho bãi Bình Tây > Vay,Vay,60.500.000.000,-,60500000000.0,
Chi phí lãi vay,Công ty Cổ phần Bao bì và Kho bãi Bình Tây > Chi phí lãi vay,Chi phí lãi vay,2.915.312.500,-,2915312500.0,
Mua cổ phiếu của Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Bao bì và Kho bãi Bình Tây > Mua cổ phiếu của Công ty Cổ phần Thương Tín Tàu Cuốc,Mua cổ phiếu của Công ty Cổ phần Thương Tín Tàu Cuốc,45.607.720.000,-,45607720000.0,
Công ty Cổ phần Địa ốc Kim Thành,Công ty Cổ phần Địa ốc Kim Thành,Công ty Cổ phần Địa ốc Kim Thành,Công ty Cổ phần Địa ốc Kim Thành,Công ty Cổ phần Địa ốc Kim Thành,,
Góp vốn,Công ty Cổ phần Địa ốc Kim Thành > Góp vốn,Góp vốn,8.800.000.000,-,8800000000.0,
Vay,Công ty Cổ phần Địa ốc Kim Thành > Vay,Vay,19.000.000.000,-,19000000000.0,
Chi phí lãi vay,Công ty Cổ phần Địa ốc Kim Thành > Chi phí lãi vay,Chi phí lãi vay,1.107.916.667,-,1107916667.0,
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,,
