row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,249.090.909,1.023.943.943,9.385.616.578,7.963.384.788,18.622.036.218,249090909.0,1023943943.0,9385616578.0,7963384788.0,18622036218.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,83.900.000,5.417.242.544,3.935.473.274,9.436.615.818,,83900000.0,5417242544.0,3935473274.0,9436615818.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(3.903.894.301),-,(3.903.894.301),,,-3903894301.0,,-3903894301.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,249.090.909,1.107.843.943,10.898.964.821,11.898.858.062,24.154.757.735,249090909.0,1107843943.0,10898964821.0,11898858062.0,24154757735.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,62.272.728,1.023.943.943,5.288.304.969,6.245.533.022,12.620.054.662,62272728.0,1023943943.0,5288304969.0,6245533022.0,12620054662.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,41.515.152,11.186.664,819.838.517,751.588.220,1.624.128.553,41515152.0,11186664.0,819838517.0,751588220.0,1624128553.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(3.903.894.301),-,(3.903.894.301),,,-3903894301.0,,-3903894301.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,103.787.880,1.035.130.607,2.204.249.185,6.997.121.242,10.340.288.914,103787880.0,1035130607.0,2204249185.0,6997121242.0,10340288914.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,186.818.181,-,4.097.311.609,1.717.851.766,6.001.981.556,186818181.0,,4097311609.0,1717851766.0,6001981556.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,145.303.029,72.713.336,8.694.715.636,4.901.736.820,13.814.468.821,145303029.0,72713336.0,8694715636.0,4901736820.0,13814468821.0
