row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đến ngàyđáo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđể bánTriệu đồng,Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đến ngàyđáo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđể bánTriệu đồng,numeric__Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,-,6.212.662,6.212.662,6.212.662,,,,,6212662.0,6212662.0,6212662.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,-,3.002.395,3.002.395,3.002.395,,,,,3002395.0,3002395.0,3002395.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,444.042,-,6.928.778,7.372.820,(*),,,444042.0,,6928778.0,7372820.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,63.250,-,-,-,-,63.250,(*),63250.0,,,,,63250.0,
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,20.251,-,-,-,-,20.251,(*),20251.0,,,,,20251.0,
Cho vay và cho thuê tài chính khách hàng,Cho vay và cho thuê tài chính khách hàng,Cho vay và cho thuê tài chính khách hàng,-,-,220.197.752,-,-,220.197.752,(*),,,220197752.0,,,220197752.0,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,643.784,-,-,643.784,(*),,,643784.0,,,643784.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,29.886.201,-,29.886.201,(*),,,,29886201.0,,29886201.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,43.302.379,-,-,-,43.302.379,(*),,43302379.0,,,,43302379.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,164.184,-,164.184,(*),,,,164184.0,,164184.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,39.176.088,39.176.088,(*),,,,,39176088.0,39176088.0,
,,,83.501,43.302.379,221.285.578,30.050.385,55.319.923,350.041.766,,83501.0,43302379.0,221285578.0,30050385.0,55319923.0,350041766.0,
Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,231.484,231.484,(*),,,,,231484.0,231484.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,12.649.006,12.649.006,(*),,,,,12649006.0,12649006.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,319.859.587,319.859.587,(*),,,,,319859587.0,319859587.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",-,-,-,-,90.975,90.975,(*),,,,,90975.0,90975.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,5.601.386,5.601.386,(*),,,,,5601386.0,5601386.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,6.093.490,6.093.490,(*),,,,,6093490.0,6093490.0,
,,,-,-,-,-,344.525.928,344.525.928,,,,,,344525928.0,344525928.0,
