row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",202.332,1.094.168,100.196,697.213,2.093.909,202332.0,1094168.0,100196.0,697213.0,2093909.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,1.468.555,-,293.827,1.762.382,,1468555.0,,293827.0,1762382.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,22.429,1.333.120,-,487.908,1.843.457,22429.0,1333120.0,,487908.0,1843457.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,48.836,-,-,43.859,92.695,48836.0,,,43859.0,92695.0
Cho vay và cho thuê tài chính khách hàng - gộp,Tài sản > Cho vay và cho thuê tài chính khách hàng - gộp,Cho vay và cho thuê tài chính khách hàng - gộp,13.697,11.265.850,405.295,1.854.390,13.539.232,13697.0,11265850.0,405295.0,1854390.0,13539232.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,648.763,-,-,648.763,,648763.0,,,648763.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,561,-,-,561,,561.0,,,561.0
Tài sản có định,Tài sản > Tài sản có định,Tài sản có định,-,42.625,-,302.439,345.064,,42625.0,,302439.0,345064.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,248,435.941,32,47.640,483.861,248.0,435941.0,32.0,47640.0,483861.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,287.542,16.289.583,505.523,3.727.276,20.809.924,287542.0,16289583.0,505523.0,3727276.0,20809924.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,8,2.907.989,-,369.881,3.277.878,8.0,2907989.0,,369881.0,3277878.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,243.255,11.148.409,6.431,1.525.369,12.923.464,243255.0,11148409.0,6431.0,1525369.0,12923464.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,-,1.096.282,-,335.925,1.432.207,,1096282.0,,335925.0,1432207.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",-,-,-,89.560,89.560,,,,89560.0,89560.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,4,-,-,4,,4.0,,,4.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,6.100,337.045,-,37.453,380.598,6100.0,337045.0,,37453.0,380598.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,249.363,15.489.729,6.431,2.358.188,18.103.711,249363.0,15489729.0,6431.0,2358188.0,18103711.0
Trạng thái tiền tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,38.179,799.854,499.092,1.369.088,2.706.213,38179.0,799854.0,499092.0,1369088.0,2706213.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,(51.522),663.254,(69.767),(279.497),262.468,-51522.0,663254.0,-69767.0,-279497.0,262468.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(13.343),1.463.108,429.325,1.089.591,2.968.681,-13343.0,1463108.0,429325.0,1089591.0,2968681.0
