row_label_raw,row_label_full,col_0,Miền NamTriệu đồng,Miền BắcTriệu đồng,Miền TrungTriệu đồng,LàoTriệu đồng,CampuchiaTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__LàoTriệu đồng,numeric__CampuchiaTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhậptrương tự,Thu nhập lãi và các khoản thu nhậptrương tự,Thu nhập lãi và các khoản thu nhậptrương tự,23.522.298(21.221.660),4.152.490(2.939.605),3.970.019(2.453.110),220.517(104.072),214.357(83.199),32.079.681(26.801.646),(10.545.477)10.545.477,21.534.204(16.256.169),,,,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,23.522.298(21.221.660),4.152.490(2.939.605),3.970.019(2.453.110),220.517(104.072),214.357(83.199),32.079.681(26.801.646),(10.545.477)10.545.477,21.534.204(16.256.169),,,,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.300.638,1.212.885,1.516.909,116.445,131.158,5.278.035,-,5.278.035,2300638.0,1212885.0,1516909.0,116445.0,131158.0,5278035.0,,5278035.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,2.972.333,201.591,142.054,16.720,34.553,3.367.251,-,3.367.251,2972333.0,201591.0,142054.0,16720.0,34553.0,3367251.0,,3367251.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,5.272.971,1.414.476,1.658.963,133.165,165.711,8.645.286,-,8.645.286,5272971.0,1414476.0,1658963.0,133165.0,165711.0,8645286.0,,8645286.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(4.810.028),(679.269),(620.406),(96.354),(130.836),(6.336.893),-,(6.336.893),-4810028.0,-679269.0,-620406.0,-96354.0,-130836.0,-6336893.0,,-6336893.0
Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng núi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng núi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng núi ro tín dụng,462.943,735.207,1.038.557,36.811,34.875,2.308.393,-,2.308.393,462943.0,735207.0,1038557.0,36811.0,34875.0,2308393.0,,2308393.0
Chi phí dự phòng núi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng núi ro tín dụng,Chi phí dự phòng núi ro tín dụng,(719.896),-,-,(5.867),(90.826),(816.589),-,(816.589),-719896.0,,,-5867.0,-90826.0,-816589.0,,-816589.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,(256.953),735.207,1.038.557,30.944,(55.951),1.491.804,-,1.491.804,-256953.0,735207.0,1038557.0,30944.0,-55951.0,1491804.0,,1491804.0
Tổng chi phí thuế thu nhập doanh nghiệp,Chi phí lãi và các chi phí tương tự > Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,(291.514),-,-,(7.427),(11.303),(310.244),-,(310.244),-291514.0,,,-7427.0,-11303.0,-310244.0,,-310244.0
LỢI NHUẬN SAU THUẾ,Chi phí lãi và các chi phí tương tự > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,(548.467),735.207,1.038.557,23.517,(67.254),1.181.560,-,1.181.560,-548467.0,735207.0,1038557.0,23517.0,-67254.0,1181560.0,,1181560.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,4.159.073,972.490,844.228,67.300,169.571,6.212.662,-,6.212.662,4159073.0,972490.0,844228.0,67300.0,169571.0,6212662.0,,6212662.0
Tiền gửi tại NHNN,TÀI SẢN > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.727.277,64.298,174.013,392.347,644.460,3.002.395,-,3.002.395,1727277.0,64298.0,174013.0,392347.0,644460.0,3002395.0,,3002395.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,6.600.580,2.467,1.890,537.699,230.184,7.372.820,-,7.372.820,6600580.0,2467.0,1890.0,537699.0,230184.0,7372820.0,,7372820.0
Cho vay và cho thuê tài chính khách hàng,TÀI SẢN > Cho vay và cho thuê tài chính khách hàng,Cho vay và cho thuê tài chính khách hàng,150.963.280,28.677.540,36.082.891,1.961.022,2.513.019,220.197.752,-,220.197.752,150963280.0,28677540.0,36082891.0,1961022.0,2513019.0,220197752.0,,220197752.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,643.784,-,-,-,-,643.784,-,643.784,643784.0,,,,,643784.0,,643784.0
Đầu tư,TÀI SẢN > Đầu tư,Đầu tư,73.415.453,-,-,-,561,73.416.014,-,73.416.014,73415453.0,,,,561.0,73416014.0,,73416014.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,56.155.923,677.773,835.019,358.351,158.265,58.185.331,(561.918),57.623.413,56155923.0,677773.0,835019.0,358351.0,158265.0,58185331.0,-561918.0,57623413.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,293.665.370,30.394.568,37.938.041,3.316.719,3.716.060,369.030.758,(561.918),368.468.840,293665370.0,30394568.0,37938041.0,3316719.0,3716060.0,369030758.0,-561918.0,368468840.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,
Các khoản nợ NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,231.484,-,-,-,-,231.484,-,231.484,231484.0,,,,,231484.0,,231484.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,10.779.152,703.053,10.088,460.287,696.426,12.649.006,-,12.649.006,10779152.0,703053.0,10088.0,460287.0,696426.0,12649006.0,,12649006.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,224.437.231,55.262.722,36.563.557,1.570.854,2.025.223,319.859.587,-,319.859.587,224437231.0,55262722.0,36563557.0,1570854.0,2025223.0,319859587.0,,319859587.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,8.016.998,3.088.041,1.765.241,128.550,55.559,13.054.389,(561.918),12.492.471,8016998.0,3088041.0,1765241.0,128550.0,55559.0,13054389.0,-561918.0,12492471.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,243.464.865,59.053.816,38.338.886,2.159.691,2.777.208,345.794.466,(561.918),345.232.548,243464865.0,59053816.0,38338886.0,2159691.0,2777208.0,345794466.0,-561918.0,345232548.0
