row_label_raw,row_label_full,Tiền gửi tại NHNN Việt Nam,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
- Bằng VND,- Bằng VND,- Bằng VND,1.240.013,7.267.614,1240013.0,7267614.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,725.576,726.644,725576.0,726644.0
Tiền gửi tại Ngân hàng Quốc gia(“NHQG”) Campuchia,Tiền gửi tại Ngân hàng Quốc gia(“NHQG”) Campuchia,Tiền gửi tại Ngân hàng Quốc gia(“NHQG”) Campuchia,644.460,667.685,644460.0,667685.0
Tiền gửi tại Ngân hàng Trung ương(“NHTW”) Lào,Tiền gửi tại Ngân hàng Trung ương(“NHTW”) Lào,Tiền gửi tại Ngân hàng Trung ương(“NHTW”) Lào,392.346,292.369,392346.0,292369.0
,,,3.002.395,8.954.312,3002395.0,8954312.0
