row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tài sản vô hình khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tài sản vô hình khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.394.954,801.302,484,4.196.740,3394954.0,801302.0,484.0,4196740.0
Tăng do mua mới và nâng cấp trong năm,Nguyên giá > Tăng do mua mới và nâng cấp trong năm,Tăng do mua mới và nâng cấp trong năm,-,12.271,-,12.271,,12271.0,,12271.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định (Thuyết minh số 16.1),Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định (Thuyết minh số 16.1),Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định (Thuyết minh số 16.1),60.519,51.369,-,111.888,60519.0,51369.0,,111888.0
Kết chuyển từ tài sản nhận cán trừ nợ,Nguyên giá > Kết chuyển từ tài sản nhận cán trừ nợ,Kết chuyển từ tài sản nhận cán trừ nợ,278.070,-,-,278.070,278070.0,,,278070.0
Thanh lý và nhượng bán,Nguyên giá > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(126.669),(5.242),-,(131.911),-126669.0,-5242.0,,-131911.0
Chênh lệch đánh giá lại tỷ giá,Nguyên giá > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(1.257),(26),-,(1.283),-1257.0,-26.0,,-1283.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.605.617,859.674,484,4.465.775,3605617.0,859674.0,484.0,4465775.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,142.641,608.136,407,751.184,142641.0,608136.0,407.0,751184.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,26.833,66.977,52,93.862,26833.0,66977.0,52.0,93862.0
Thanh lý và nhượng bán,Giá trị hao mòn lũy kế > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(318),(5.242),-,(5.560),-318.0,-5242.0,,-5560.0
Chênh lệch đánh giá lại tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,-,(91),-,(91),,-91.0,,-91.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,169.156,669.780,459,839.395,169156.0,669780.0,459.0,839395.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.252.313,193.166,77,3.445.556,3252313.0,193166.0,77.0,3445556.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.436.461,189.894,25,3.626.380,3436461.0,189894.0,25.0,3626380.0
