row_label_raw,row_label_full,Số dư đầu năm > Trích lập quỹ trong năm (Thuyết minh số 24.1),Năm nayTriệu đồng > 25.790 > 117.126,Năm trướcTriệu đồng > 77.637 > 14.428,numeric__Năm nayTriệu đồng > 25.790 > 117.126,numeric__Năm trướcTriệu đồng > 77.637 > 14.428
Tăng khác,Tăng khác,Tăng khác,-,2,,2.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,(141.435),(66.277),-141435.0,-66277.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.481,25.790,1481.0,25790.0
