row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Thư tín dụng,Thư tín dụng,Thư tín dụng,7.636.582,9.281.484,7636582.0,9281484.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,14.441.368,12.049.416,14441368.0,12049416.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,1.105.091,282.991,1105091.0,282991.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,842.824,521.615,842824.0,521615.0
- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,12.493.453,11.244.810,12493453.0,11244810.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,17.766,34.126,17766.0,34126.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,8.415.947,4.606.175,8415947.0,4606175.0
,,,30.511.663,25.971.201,30511663.0,25971201.0
Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,(322.823),(294.817),-322823.0,-294817.0
Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ấn và các cam kết đưa ra,30.188.840,25.676.384,30188840.0,25676384.0
