row_label_raw,row_label_full,Số dư đầu năm,Năm nayTriệu đồng > Số dư đầu năm,Năm trướcTriệu đồng > Số dư đầu năm,numeric__Năm nayTriệu đồng > Số dư đầu năm,numeric__Năm trướcTriệu đồng > Số dư đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,191.139,193.355,191139.0,193355.0
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.2),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.2),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.2),1.649.681,1.378.545,1649681.0,1378545.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),7.500,7.500,7500.0,7500.0
,,,1.848.320,1.579.400,1848320.0,1579400.0
Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 31),Trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 31),Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 31),(69.904),(2.216),-69904.0,-2216.0
Trái phiếu đặc biệt do VAMC phát hành(được hạch toán vào chi phí dự phòng rủi rotín dụng) (Thuyết minh số 12.2),Trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành(được hạch toán vào chi phí dự phòng rủi rotín dụng) (Thuyết minh số 12.2),Trái phiếu đặc biệt do VAMC phát hành(được hạch toán vào chi phí dự phòng rủi rotín dụng) (Thuyết minh số 12.2),314.546,271.414,314546.0,271414.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),7.500,-,7500.0,
Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,,
Trái phiếu đặc biệt do VAMCphát hành (Thuyết minh số 12.2),Sử dụng dự phòng xử lý rủi ro trong năm > Trái phiếu đặc biệt do VAMCphát hành (Thuyết minh số 12.2),Trái phiếu đặc biệt do VAMCphát hành (Thuyết minh số 12.2),(14.907),(278),-14907.0,-278.0
,,,237.235,268.920,237235.0,268920.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số dư cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,121.235,191.139,121235.0,191139.0
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.2),Số dư cuối năm > Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.2),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.2),1.949.320,1.649.681,1949320.0,1649681.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Số dư cuối năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),15.000,7.500,15000.0,7500.0
,,,2.085.555,1.848.320,2085555.0,1848320.0
