row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến1 thángTriệu đồng,Từ 1 đến3 thángTriệu đồng,Từ 3 đến6 thángTriệu đồng,Từ 6 đến12 thángTriệu đồng,Từ 1 đến5 nămTriệu đồng,Trên5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,6.212.662,-,-,-,-,-,-,6.212.662,,6212662.0,,,,,,,6212662.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,392.347,2.610.048,-,-,-,-,-,3.002.395,,392347.0,2610048.0,,,,,,3002395.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,552,-,7.050.974,248.489,-,73.357,-,-,7.373.372,552.0,,7050974.0,248489.0,,73357.0,,,7373372.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,63.250,-,-,-,-,-,-,63.250,,63250.0,,,,,,,63250.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,20.251,-,-,-,-,-,-,20.251,,20251.0,,,,,,,20251.0
Cho vay và cho thuê tài chính khách hàng - gộp,Tài sản > Cho vay và cho thuê tài chính khách hàng - gộp,Cho vay và cho thuê tài chính khách hàng - gộp,11.303.929,-,75.157.364,129.492.389,753.145,1.104.881,3.455.498,1.679.424,222.946.630,11303929.0,,75157364.0,129492389.0,753145.0,1104881.0,3455498.0,1679424.0,222946630.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,648.763,-,-,-,-,648.763,,,,648763.0,,,,,648763.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,43.513.757,600.143,853.076,152.051,3.304.149,26.790.998,59.961,75.274.135,,43513757.0,600143.0,853076.0,152051.0,3304149.0,26790998.0,59961.0,75274135.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,320.934,-,-,-,-,-,-,320.934,,320934.0,,,,,,,320934.0
