row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang tài sản cố định hữu hình(Thuyết minh số 15.1) > Chuyển sang tài sản cố định vô hình(Thuyết minh số 15.2),Năm nayTriệu đồng > 439.535 > 367.010 > (134.023) > (111.888),Năm trướcTriệu đồng > 426.051 > 362.019 > (227.428) > (98.435),numeric__Năm nayTriệu đồng > 439.535 > 367.010 > (134.023) > (111.888),numeric__Năm trướcTriệu đồng > 426.051 > 362.019 > (227.428) > (98.435)
Chuyển sang chi phí chờ phân bổ vàchi phí hoạt động,Chuyển sang chi phí chờ phân bổ vàchi phí hoạt động,Chuyển sang chi phí chờ phân bổ vàchi phí hoạt động,(12.028),(22.069),-12028.0,-22069.0
Giảm khác,Giảm khác,Giảm khác,-,(603),,-603.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,548.606,439.535,548606.0,439535.0
