row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,col_2,49.008.000.000,44.000.000.000,numeric__31,numeric__col_2,numeric__49.008.000.000,numeric__44.000.000.000
Tiền thu từ bán cổ phiếu quỹ,Tiền thu từ bán cổ phiếu quỹ,Tiền thu từ bán cổ phiếu quỹ,32,,-,8.980.355.547,32.0,,,8980355547.0
Tiền thu từ nhận góp vốn vào công ty con từ cổ đông không kiểm soát,Tiền thu từ nhận góp vốn vào công ty con từ cổ đông không kiểm soát,Tiền thu từ nhận góp vốn vào công ty con từ cổ đông không kiểm soát,32,,150.000.000,14.446.000.000,32.0,,150000000.0,14446000000.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,,32.656.059.182.202,38.252.605.550.541,33.0,,32656059182202.0,38252605550541.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(35.355.532.973.645),(39.543.878.574.152),34.0,,-35355532973645.0,-39543878574152.0
Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,-,(60.381.309.809),35.0,,,-60381309809.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,,(393.643.500),(307.131.948),36.0,,-393643500.0,-307131948.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(2.650.709.434.943),(1.284.535.109.821),40.0,,-2650709434943.0,-1284535109821.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,,(214.502.798.701),(84.116.829.714),50.0,,-214502798701.0,-84116829714.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,492.796.782.190,574.767.066.704,60.0,,492796782190.0,574767066704.0
Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,61,,51.840.974.230,2.146.545.200,61.0,,51840974230.0,2146545200.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),70,5,330.134.957.719,492.796.782.190,70.0,5.0,330134957719.0,492796782190.0
