row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2022 VND,Năm kết thúc ngày > 30/9/2021 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2022 VND,numeric__Năm kết thúc ngày > 30/9/2021 VND
LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,,381.129.461.460,4.915.483.070.880,1.0,,381129461460.0,4915483070880.0
Khấu hao và phân bổ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.159.936.099.089,1.185.959.400.847,2.0,,1159936099089.0,1185959400847.0
Các khoản dự phòng,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,507.142.813.860,156.375.293.473,3.0,,507142813860.0,156375293473.0
Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,(4.628.540.304),(4.523.936.793),4.0,,-4628540304.0,-4523936793.0
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(26.083.512.624),(111.174.418.192),5.0,,-26083512624.0,-111174418192.0
Chi phí lãi vay,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,,260.241.924.339,355.048.548.813,6.0,,260241924339.0,355048548813.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,2.277.738.245.820,6.497.167.959.028,8.0,,2277738245820.0,6497167959028.0
Biến động các khoản phải thu và các tài sản khác,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và các tài sản khác,Biến động các khoản phải thu và các tài sản khác,09,,3.842.273.521.768,(2.857.778.927.583),9.0,,3842273521768.0,-2857778927583.0
Biến động hàng tồn kho,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,4.445.002.462.715,(6.987.119.321.159),10.0,,4445002462715.0,-6987119321159.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(6.956.019.847.718),5.855.275.980.310,11.0,,-6956019847718.0,5855275980310.0
Biến động chi phí trả trước,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,4.410.046.030,33.403.745.158,12.0,,4410046030.0,33403745158.0
,,,,,3.613.404.428.615,2.540.949.435.754,,,3613404428615.0,2540949435754.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(267.259.703.670),(351.638.503.121),14.0,,-267259703670.0,-351638503121.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(384.553.756.705),(629.606.456.169),15.0,,-384553756705.0,-629606456169.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(117.030.852.331),(63.628.027.964),17.0,,-117030852331.0,-63628027964.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,2.844.560.115.909,1.496.076.448.500,20.0,,2844560115909.0,1496076448500.0
