row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2022VND,30/9/2021VND,,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,,,
▪ Bán thành phẩm,Tổng doanh thu > ▪ Bán thành phẩm,▪ Bán thành phẩm,23.391.212.646.138,22.762.662.833.195,23391212646138.0,22762662833195.0
▪ Bán hàng hóa,Tổng doanh thu > ▪ Bán hàng hóa,▪ Bán hàng hóa,26.679.991.736.818,26.204.556.855.059,26679991736818.0,26204556855059.0
▪ Dịch vụ cung cấp và doanh thu khác,Tổng doanh thu > ▪ Dịch vụ cung cấp và doanh thu khác,▪ Dịch vụ cung cấp và doanh thu khác,18.930.935.545,20.114.024.031,18930935545.0,20114024031.0
,,,50.090.135.318.501,48.987.333.712.285,50090135318501.0,48987333712285.0
Trừ các khoản giảm trừ doanh thu,Trừ các khoản giảm trừ doanh thu,Trừ các khoản giảm trừ doanh thu,,,,
▪ Chiết khấu thương mại,Trừ các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,354.367.561.104,238.263.060.549,354367561104.0,238263060549.0
▪ Hàng bán bị trả lại,Trừ các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,22.089.020.245,21.567.893.928,22089020245.0,21567893928.0
▪ Giảm giá hàng bán,Trừ các khoản giảm trừ doanh thu > ▪ Giảm giá hàng bán,▪ Giảm giá hàng bán,3.042.785.685,980.524.072,3042785685.0,980524072.0
,,,379.499.367.034,260.811.478.549,379499367034.0,260811478549.0
Doanh thu thuần,Trừ các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,49.710.635.951.467,48.726.522.233.736,49710635951467.0,48726522233736.0
