row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sãnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.544.183.265.230,10.533.618.286.279,479.413.547.512,87.597.045.920,27.050.374.923,13.671.862.519.864,2544183265230.0,10533618286279.0,479413547512.0,87597045920.0,27050374923.0,13671862519864.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.414.939.528,62.094.207.226,11.396.210.000,-,-,78.905.356.754,5414939528.0,62094207226.0,11396210000.0,,,78905356754.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,296.985.647.887,65.610.464.471,23.347.005.222,-,1.472.949.719,387.416.067.299,296985647887.0,65610464471.0,23347005222.0,,1472949719.0,387416067299.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.354.196.948),(39.197.837.991),(5.981.500.000),-,-,(47.533.534.939),-2354196948.0,-39197837991.0,-5981500000.0,,,-47533534939.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.107.911.758),(2.809.448.504),-,-,-,(3.917.360.262),-1107911758.0,-2809448504.0,,,,-3917360262.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.843.121.743.939,10.619.315.671.481,508.175.262.734,87.597.045.920,28.523.324.642,14.086.733.048.716,2843121743939.0,10619315671481.0,508175262734.0,87597045920.0,28523324642.0,14086733048716.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,816.565.666.987,6.011.871.404.702,320.794.574.143,57.152.377.505,22.668.800.587,7.229.052.823.924,816565666987.0,6011871404702.0,320794574143.0,57152377505.0,22668800587.0,7229052823924.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,129.746.625.447,947.426.570.617,55.216.944.250,10.565.077.271,2.460.524.716,1.145.415.742.301,129746625447.0,947426570617.0,55216944250.0,10565077271.0,2460524716.0,1145415742301.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.354.196.948),(30.866.554.913),(5.735.707.551),-,-,(38.956.459.412),-2354196948.0,-30866554913.0,-5735707551.0,,,-38956459412.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(974.284.666),(2.421.708.337),-,-,-,(3.395.993.003),-974284666.0,-2421708337.0,,,,-3395993003.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,942.983.810.820,6.926.009.712.069,370.275.810.842,67.717.454.776,25.129.325.303,8.332.116.113.810,942983810820.0,6926009712069.0,370275810842.0,67717454776.0,25129325303.0,8332116113810.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.727.617.598.243,4.521.746.881.577,158.618.973.369,30.444.668.415,4.381.574.336,6.442.809.695.940,1727617598243.0,4521746881577.0,158618973369.0,30444668415.0,4381574336.0,6442809695940.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.900.137.933.119,3.693.305.959.412,137.899.451.892,19.879.591.144,3.393.999.339,5.754.616.934.906,1900137933119.0,3693305959412.0,137899451892.0,19879591144.0,3393999339.0,5754616934906.0
