row_label_raw,row_label_full,Bên cho vay,Bên cho vay_1,Loại tiên,Hạn mức,Lãi suất,Lãi suất_1,Tài sản đảm bảo,numeric__Bên cho vay_1,numeric__Loại tiên,numeric__Hạn mức,numeric__Lãi suất,numeric__Lãi suất_1,numeric__Tài sản đảm bảo
Bên cho vay,Bên cho vay,Bên cho vay,Bên cho vay,Loại tiên,Hạn mức,30/9/2022,1/10/2021,Tài sản đảm bảo,,,,,,
viii.,viii.,viii.,Ngân hàng Malayan Banking Berhad - Chi nhánh TP. Hồ Chí Minh,VND USD,"6,6 triệu USD",-,"3,20% - 3,30%",Hàng tồn kho,,,,,,
viii.,viii. > viii.,viii.,Ngân hàng Malayan Banking Berhad - Chi nhánh TP. Hồ Chí Minh,VND USD,"6,6 triệu USD",-,"1,40%",Hàng tồn kho,,,,,0.013999999999999999,
ix.,ix.,ix.,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,VND,200 tỷ VND,-,"3,10% - 4,40%",Tài sản cố định và hàng tồn kho,,,,,,
x.,ix. > x.,x.,Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,VND,500 tỷ VND,-,"3,90%",Không có tài sản đảm bảo,,,,,0.039,
xi.,ix. > xi.,xi.,Ngân hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,VND USD,15 triệu USD,-,"3,60%",Không có tài sản đảm bảo,,,,,0.036000000000000004,
xi.,ix. > xi.,xi.,Ngân hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,VND USD,15 triệu USD,-,"1,50%",Không có tài sản đảm bảo,,,,,0.015,
xii.,ix. > xii.,xii.,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Nghệ An,VND,800 tỷ VND,"5,50%",-,Hàng tồn kho,,,,0.055,,
