row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2022VND,30/9/2021VND,,
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,1.794.587.785.556,1.704.544.466.093,1794587785556.0,1704544466093.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,900.753.976.328,643.035.977.672,900753976328.0,643035977672.0
Chi phí vận chuyển nội địa,Chi phí vận chuyển nội địa,Chi phí vận chuyển nội địa,340.407.152.000,356.516.789.419,340407152000.0,356516789419.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,195.838.571.571,162.547.696.297,195838571571.0,162547696297.0
Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,166.651.322.612,165.968.395.956,166651322612.0,165968395956.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,94.603.895.769,60.905.209.032,94603895769.0,60905209032.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,82.336.100.980,69.488.023.995,82336100980.0,69488023995.0
Chi phí bán hàng khác,Chi phí bán hàng khác,Chi phí bán hàng khác,257.463.695.249,181.480.678.090,257463695249.0,181480678090.0
,,,3.832.642.500.065,3.344.487.236.554,3832642500065.0,3344487236554.0
