row_label_raw,row_label_full,col_0,1/10/2021VND,Số phải nộpVND,Số đã nộpVND,Số đã cán trừVND,Số phân loại lạiVND,30/9/2022VND,numeric__1/10/2021VND,numeric__Số phải nộpVND,numeric__Số đã nộpVND,numeric__Số đã cán trừVND,numeric__Số phân loại lạiVND,numeric__30/9/2022VND
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,172.833.692.038,12.393.356.895.819,(1.472.076.372.459),(11.027.101.924.754),-,67.012.290.644,172833692038.0,12393356895819.0,-1472076372459.0,-11027101924754.0,,67012290644.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,165.867.784,2.433.689.867,(2.519.983.542),-,-,79.574.109,165867784.0,2433689867.0,-2519983542.0,,,79574109.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,171.530.100.652,94.121.510.013,(384.553.756.705),-,130.713.156.863,11.811.010.823,171530100652.0,94121510013.0,-384553756705.0,,130713156863.0,11811010823.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.563.187.370,45.268.074.576,(42.955.560.725),(1.263.298.157),50.052.418,2.662.455.482,1563187370.0,45268074576.0,-42955560725.0,-1263298157.0,50052418.0,2662455482.0
Thuế khác,Thuế khác,Thuế khác,89.520.720,2.948.992.059,(3.038.990.788),-,949.369,471.360,89520720.0,2948992059.0,-3038990788.0,,949369.0,471360.0
,,,346.182.368.564,12.538.129.162.334,(1.905.144.664.219),(11.028.365.222.911),130.764.158.650,81.565.802.418,346182368564.0,12538129162334.0,-1905144664219.0,-11028365222911.0,130764158650.0,81565802418.0
(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,,,,,,
,,,,,1/10/2021VND,Số đã nộpVND,Số phân loại lạiVND,30/9/2022VND,,,,,,
Thuế thu nhập doanh nghiệp,(b) Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,5.296.564.045,-,130.713.156.863,136.009.720.908,,,5296564045.0,,130713156863.0,136009720908.0
Thuế thu nhập cá nhân,(b) Thuế phải thu Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,,13.619.717,-,50.052.418,63.672.135,,,13619717.0,,50052418.0,63672135.0
Các loại thuế khác,(b) Thuế phải thu Nhà nước > Các loại thuế khác,Các loại thuế khác,,,-,-,949.369,949.369,,,,,949369.0,949369.0
,,,,,5.310.183.762,-,130.764.158.650,136.074.342.412,,,5310183762.0,,130764158650.0,136074342412.0
