row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2022VND,30/9/2021VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,381.129.461.460,4.915.483.070.880,381129461460.0,4915483070880.0
Thuế theo thuế suất của Công ty,Thuế theo thuế suất của Công ty,Thuế theo thuế suất của Công ty,76.225.892.292,983.096.614.175,76225892292.0,983096614175.0
Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,(8.333.778.017),(180.599.986.752),-8333778017.0,-180599986752.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,26.107.027.425,19.772.352.262,26107027425.0,19772352262.0
Uu đãi thuế,Uu đãi thuế,Uu đãi thuế,(15.421.057.778),(150.545.861.692),-15421057778.0,-150545861692.0
Tài sản thuế thu nhập doanh nghiệp chưa được ghi nhận,Tài sản thuế thu nhập doanh nghiệp chưa được ghi nhận,Tài sản thuế thu nhập doanh nghiệp chưa được ghi nhận,50.732.146.903,3.580.744.724,50732146903.0,3580744724.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(612.107.105),(10.443.765.911),-612107105.0,-10443765911.0
Sử dụng tài sản thuế thu nhập hoãn lại không được ghi nhận trước đây,Sử dụng tài sản thuế thu nhập hoãn lại không được ghi nhận trước đây,Sử dụng tài sản thuế thu nhập hoãn lại không được ghi nhận trước đây,,(64.355.894.301),,-64355894301.0
Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,1.111.031.256,1.484.806.116,1111031256.0,1484806116.0
,,,129.809.154.976,601.989.008.621,129809154976.0,601989008621.0
