row_label_raw,row_label_full,col_0,Bên cho vay,Loại tiền,Hạn mức,Lãi suất,Lãi suất_1,Tài sản đảm bảo,numeric__Bên cho vay,numeric__Loại tiền,numeric__Hạn mức,numeric__Lãi suất,numeric__Lãi suất_1,numeric__Tài sản đảm bảo
,,,Bên cho vay,Loại tiền,Hạn mức,30/9/2022,1/10/2021,Tài sản đảm bảo,,,,,,
i.,i.,i.,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,VND USD,4.000 tỷ VND,"3,86% - 4,10%2,50%","3,50%1,50% - 2,00%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị, khoản phải thu",,,,,,
ii.,ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,VND USD,2.400 tỷ VND,"4,50% - 5,0%1,60% - 1,90%","3,50%1,30%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho, nhà cửa, vật kiến trúc, khoản phải thu",,,,,,
iii.,iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,VND,1.500 tỷ VND,-,"3,50% - 3,80%","Hàng tồn kho, máy móc và thiết bị và một phần công trình xây dựng trên đất của Công ty TNHH Một Thành Viên Hoa Sen Nghệ An, công ty con",,,,,,
iv.,iii. > iv.,iv.,Ngân hàng TNHH MTV HSBC (Việt Nam),VND,60 triệu USD,"4,30% - 5,0%","3,35%","Hàng tồn kho, máy móc và thiết bị, quyền sử dụng đất và công trình xây dựng trên đất và một số tài sản cố định của Công ty TNHH Một Thành Viên Hoa Sen Bình Định, công ty con",,,,,0.0335,
v,iii. > v,v,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,VND,6 triệu USD,-,"3,30%",Không có tài sản đảm bảo,,,,,0.033,
vi.,vi.,vi.,Ngân hàng TNHH MTV UOB Việt Nam,VND USD,23 triệu USD,"4,30% - 5,20%","3,00%1,60%",Hàng tồn kho,,,,,,
vii.,vi. > vii.,vii.,Ngân hàng TNHH MTV UOB Việt Nam,VND,3 triệu USD,-,"3,00%",Hàng tồn kho,,,,,0.03,
