row_label_raw,row_label_full,Danh sách các bên liên quan,Danh sách các bên liên quan_1,Môi quan hệ,numeric__Danh sách các bên liên quan_1,numeric__Môi quan hệ
1.,1.,1.,Công ty Cổ phần Sơn Đồng Nai,Công ty liên kết,,
2.,2.,2.,Công ty Cổ phần Dịch vụ Căng Đồng Nai,Công ty liên kết,,
3.,3.,3.,Công ty Cổ phần Căng Long Thành,Công ty liên kết,,
4.,4.,4.,Công ty Cổ phần Xây dựng Đồng Nai,Công ty liên kết,,
5.,5.,5.,Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,Công ty liên kết,,
6.,6.,6.,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Công ty liên kết,,
7.,7.,7.,Công ty Cổ phần Kinh doanh nhà Đồng Nai,Công ty liên kết,,
8.,8.,8.,Công ty Cổ phần Cấp nước Gia Tân,Công ty liên kết,,
9.,9.,9.,Công ty TNHH Tiên Triết,Công ty có cùng nhân sự quản lý chủ chốt (đến ngày 26/01/2022),,
10.,10.,10.,Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,Nhân sự quản lý chủ chốt,,
