row_label_raw,row_label_full,col_0,Mã số,Tại ngày 01/01/2022 VND (Được báo cáo lại),Tại ngày 01/01/2022 VND (Đã được báo cáo trước đây),numeric__Mã số,numeric__Tại ngày 01/01/2022 VND (Được báo cáo lại),numeric__Tại ngày 01/01/2022 VND (Đã được báo cáo trước đây)
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,100,6.600.327.947.445,6.599.821.857.975,100.0,6600327947445.0,6599821857975.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,92.797.292.660,92.291.203.190,150.0,92797292660.0,92291203190.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,4.138.375.989,3.632.286.519,153.0,4138375989.0,3632286519.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,200,15.371.442.169.819,15.378.555.469.510,200.0,15371442169819.0,15378555469510.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,4.634.139.748.740,4.640.198.960.431,220.0,4634139748740.0,4640198960431.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,4.280.488.810.868,4.286.548.022.559,221.0,4280488810868.0,4286548022559.0
Nguyên giá,Nguyên giá,Nguyên giá,222,8.553.043.776.980,8.551.038.842.572,222.0,8553043776980.0,8551038842572.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,(4.272.554.966.112),(4.264.490.820.013),223.0,-4272554966112.0,-4264490820013.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.969.981.572.652,6.002.270.042.050,240.0,5969981572652.0,6002270042050.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,32.288.469.398,241.0,,32288469398.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,472.923.115.630,473.977.203.630,250.0,472923115630.0,473977203630.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,169.948.164.350,171.002.252.350,253.0,169948164350.0,171002252350.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,1.464.882.846.446,1.432.594.377.048,260.0,1464882846446.0,1432594377048.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,1.424.603.910.868,1.392.315.441.470,261.0,1424603910868.0,1392315441470.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,300,12.698.978.398.077,12.703.129.109.101,300.0,12698978398077.0,12703129109101.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,3.272.538.213.457,3.274.688.924.481,310.0,3272538213457.0,3274688924481.0
Nợ phải trả người bán ngắn hạn,Nợ phải trả người bán ngắn hạn,Nợ phải trả người bán ngắn hạn,311,616.859.410.076,616.880.110.076,311.0,616859410076.0,616880110076.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,384.802.939.386,382.802.939.386,312.0,384802939386.0,382802939386.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,127.446.684.912,112.653.996.180,313.0,127446684912.0,112653996180.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,169.168.985.816,163.968.985.816,314.0,169168985816.0,163968985816.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,145.560.491.565,150.942.518.113,315.0,145560491565.0,150942518113.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,188.161.883.615,206.902.556.823,319.0,188161883615.0,206902556823.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,9.426.440.184.620,9.428.440.184.620,330.0,9426440184620.0,9428440184620.0
Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,331,11.753.755.089,13.753.755.089,331.0,11753755089.0,13753755089.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,9.272.791.719.187,9.275.248.218.384,410.0,9272791719187.0,9275248218384.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,9.662.316.934,4.331.087.435,420.0,9662316934.0,4331087435.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,1.641.277.395.026,1.641.633.516.662,421.0,1641277395026.0,1641633516662.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,LNST chưa phân phối lũy kế đến cuối kỳ trước,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,737.952.361.475,739.715.834.683,,737952361475.0,739715834683.0
LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,421b,903.325.033.551,901.917.681.979,,903325033551.0,901917681979.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,3.512.185.278.899,3.519.616.885.959,429.0,3512185278899.0,3519616885959.0
