row_label_raw,row_label_full,col_0,Tại ngày 31/12/2022VND,Tại ngày 31/12/2022VND_1,Tại ngày 01/01/2022VND,Tại ngày 01/01/2022VND_1,numeric__Tại ngày 31/12/2022VND,numeric__Tại ngày 31/12/2022VND_1,numeric__Tại ngày 01/01/2022VND,numeric__Tại ngày 01/01/2022VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",48.066.179.801,(133.181.950),49.956.524.972,(133.181.950),48066179801.0,-133181950.0,49956524972.0,-133181950.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",3.057.966.680,-,2.105.620.549,-,3057966680.0,,2105620549.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.672.202.272.407,-,355.199.970.365,-,1672202272407.0,,355199970365.0,
"Dự án khu công nghiệp, khu đô thị Châu Đức","Dự án khu công nghiệp, khu đô thị Châu Đức","Dự án khu công nghiệp, khu đô thị Châu Đức",1.191.447.003.198,-,-,-,1191447003198.0,,,
Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,146.256.349.650,-,-,-,146256349650.0,,,
"Dự án khu dân cư xã Lộc An, huyện xong Thành","Dự án khu dân cư xã Lộc An, huyện xong Thành","Dự án khu dân cư xã Lộc An, huyện xong Thành",51.296.907.710,-,67.220.497.959,-,51296907710.0,,67220497959.0,
Các dự án khác,Các dự án khác,Các dự án khác,283.202.011.849,-,287.979.472.406,-,283202011849.0,,287979472406.0,
Thành phẩm,Thành phẩm,Thành phẩm,68.465.419.574,-,2.874.961.721,-,68465419574.0,,2874961721.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.897.498.970,-,2.226.161.621,-,1897498970.0,,2226161621.0,
Cộng,Cộng,Cộng,1.793.689.337.432,(133.181.950),412.363.239.228,(133.181.950),1793689337432.0,-133181950.0,412363239228.0,-133181950.0
