row_label_raw,row_label_full,STT,Địa điểm,Thời gian khấu hao,numeric__Địa điểm,numeric__Thời gian khấu hao
3.,3.,3.,Quyền sử dụng đất tại Công ty Cổ phần Cấp nước Đồng Nai,20 - 49 năm,,
4.,4.,4.,Quyền sử dụng đất tại Công ty Cổ phần Cắng Đồng Nai,15 năm,,
5.,5.,5.,"Quyền sử dụng đất bao gồm 918m2 và 144m2 bổ sung tại số H22 Đường Võ Thị Sáu, P. Thống Nhất, TP. Biên Hòa, tỉnh Đồng Nai",6 - 22 năm,,
6.,6.,6.,"Quyền sử dụng đất tại Khu công nghiệp Biên Hòa 2, khu công nghiệp Gò Dầu và khu công nghiệp Xuân Lộc","36,5 năm - 47,5 năm",,
