row_label_raw,row_label_full,col_0,Tại ngày 01/01/2022VND,Tại ngày 01/01/2022VND_1,Trong nămVND,Trong nămVND_1,Tại ngày 31/12/2022VND,Tại ngày 31/12/2022VND_1,numeric__Tại ngày 01/01/2022VND,numeric__Tại ngày 01/01/2022VND_1,numeric__Trong nămVND,numeric__Trong nămVND_1,numeric__Tại ngày 31/12/2022VND,numeric__Tại ngày 31/12/2022VND_1
,,,Phải thu,Phải nộp,Phải nộp,Đã nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,46.108.495.780,212.896.535.704,(251.848.825.138),171.494.670,7.327.701.016,,46108495780.0,212896535704.0,-251848825138.0,171494670.0,7327701016.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.237.564.578,50.795.112.740,219.631.396.442,(236.846.131.358),5.948.031.898,38.290.845.144,1237564578.0,50795112740.0,219631396442.0,-236846131358.0,5948031898.0,38290845144.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,7.197.325.793,36.922.221.525,(39.577.859.557),897.649.178,5.439.336.939,,7197325793.0,36922221525.0,-39577859557.0,897649178.0,5439336939.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,-,5.259.714.783,(4.231.387.174),-,1.028.327.609,,,5259714783.0,-4231387174.0,,1028327609.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,7.553.313.341,25.000.050.428,(22.823.772.030),-,9.729.591.739,,7553313341.0,25000050428.0,-22823772030.0,,9729591739.0
"Tiền thuê đất, thuế đất phi nông nghiệp","Tiền thuê đất, thuế đất phi nông nghiệp","Tiền thuê đất, thuế đất phi nông nghiệp",2.898.726.406,8.788.452.511,67.266.052.934,(66.605.266.090),-,6.550.512.949,2898726406.0,8788452511.0,67266052934.0,-66605266090.0,,6550512949.0
"Phí, lệ phí","Phí, lệ phí","Phí, lệ phí",-,1.148.162.571,6.794.070.689,(3.360.303.122),-,4.581.930.138,,1148162571.0,6794070689.0,-3360303122.0,,4581930138.0
Thuế khác,Thuế khác,Thuế khác,2.085.005,5.855.822.176,96.410.185.416,(82.560.307.536),2.085.005,19.705.700.056,2085005.0,5855822176.0,96410185416.0,-82560307536.0,2085005.0,19705700056.0
Cộng,Cộng,Cộng,4.138.375.989,127.446.684.912,670.180.227.921,(707.853.852.005),7.019.260.751,92.653.945.590,4138375989.0,127446684912.0,670180227921.0,-707853852005.0,7019260751.0,92653945590.0
