row_label_raw,row_label_full,col_0,Mã số,Năm 2021 VND (Được bảo cáo lại),Năm 2021 VND (Đã được bảo cáo trước đây),numeric__Mã số,numeric__Năm 2021 VND (Được bảo cáo lại),numeric__Năm 2021 VND (Đã được bảo cáo trước đây)
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,5.187.299.013.415,5.187.428.888.415,1.0,5187299013415.0,5187428888415.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,5.187.294.057.715,5.187.423.932.715,10.0,5187294057715.0,5187423932715.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,3.098.511.894.316,3.087.253.430.304,11.0,3098511894316.0,3087253430304.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,2.088.782.163.399,2.100.170.502.411,20.0,2088782163399.0,2100170502411.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,122.409.050.871,121.046.970.344,22.0,122409050871.0,121046970344.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,119.615.910.836,118.253.830.309,23.0,119615910836.0,118253830309.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,446.288.284.383,444.508.859.140,26.0,446288284383.0,444508859140.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,1.737.380.199.111,1.751.910.043.893,30.0,1737380199111.0,1751910043893.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,50.161.545.858,31.420.872.650,31.0,50161545858.0,31420872650.0
Chi phí khác,Chi phí khác,Chi phí khác,32,13.276.785.217,10.528.615.269,32.0,13276785217.0,10528615269.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,36.884.760.641,20.892.257.381,40.0,36884760641.0,20892257381.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,1.774.264.959.752,1.772.802.301.274,50.0,1774264959752.0,1772802301274.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,292.314.257.717,292.205.084.294,51.0,292314257717.0,292205084294.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,1.498.987.153.855,1.497.633.668.800,60.0,1498987153855.0,1497633668800.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,903.325.033.551,901.917.681.979,61.0,903325033551.0,901917681979.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,595.662.120.304,595.715.986.821,62.0,595662120304.0,595715986821.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,2.202,2.378,70.0,2202.0,2378.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,2.202,2.378,71.0,2202.0,2378.0
