row_label_raw,row_label_full,col_0,Tại ngày31/12/2022VND,Tại ngày01/01/2022VND,numeric__Tại ngày31/12/2022VND,numeric__Tại ngày01/01/2022VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải trả tiền hợp tác đầu tư dự án khu dân cư Hữu Phước,Ngắn hạn: > Phải trả tiền hợp tác đầu tư dự án khu dân cư Hữu Phước,Phải trả tiền hợp tác đầu tư dự án khu dân cư Hữu Phước,217.383.720.572,-,217383720572.0,
"Nhận ký quỹ, ký cược","Ngắn hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",55.376.345.153,65.615.613.863,55376345153.0,65615613863.0
Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai - Chi phí giải phòng mặt bằng huyện Vĩnh Cửu,Ngắn hạn: > Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai - Chi phí giải phòng mặt bằng huyện Vĩnh Cửu,Trung tâm Phát triển Quỹ đất tỉnh Đồng Nai - Chi phí giải phòng mặt bằng huyện Vĩnh Cửu,47.382.461.015,47.382.461.015,47382461015.0,47382461015.0
"Cổ tức, lợi nhuận phải trả","Ngắn hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",10.487.665.659,14.585.484.784,10487665659.0,14585484784.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",86.914.920.745,60.578.323.953,86914920745.0,60578323953.0
Cộng,Ngắn hạn: > Cộng,Cộng,417.545.113.144,188.161.883.615,417545113144.0,188161883615.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
"Nhận ký quỹ, ký cược","Dài hạn: > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",180.414.783.851,126.684.951.076,180414783851.0,126684951076.0
"Cổ tức, lợi nhuận phải trả","Dài hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",88.904.312.164,94.749.998.164,88904312164.0,94749998164.0
Phải trả tiền hợp tác đầu tư dự án khu dân cư Hữu Phước,Dài hạn: > Phải trả tiền hợp tác đầu tư dự án khu dân cư Hữu Phước,Phải trả tiền hợp tác đầu tư dự án khu dân cư Hữu Phước,-,220.550.897.205,,220550897205.0
"Các khoản phải trả, phải nộp khác","Dài hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",30.714.287.227,34.131.764.806,30714287227.0,34131764806.0
Cộng,Dài hạn: > Cộng,Cộng,300.033.383.242,476.117.611.251,300033383242.0,476117611251.0
