row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiệnvận tải, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiệnvận tải, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2022,Nguyên giá: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.420.354.259.666,1.648.826.092.378,3.328.822.053.088,91.961.020.857,63.080.350.991,8.553.043.776.980,3420354259666.0,1648826092378.0,3328822053088.0,91961020857.0,63080350991.0,8553043776980.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,285.570.367.459,59.090.238.408,190.773.389.780,16.222.802.556,247.747.382.878,799.404.181.081,285570367459.0,59090238408.0,190773389780.0,16222802556.0,247747382878.0,799404181081.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,799.633.472,6.257.712.442,5.831.915.671,1.974.668.567,757.576.000,15.621.506.152,799633472.0,6257712442.0,5831915671.0,1974668567.0,757576000.0,15621506152.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.353.148.362),(592.518.744),(3.630.466.630),(1.050.307.392),(1.364.053.636),(7.990.494.764),-1353148362.0,-592518744.0,-3630466630.0,-1050307392.0,-1364053636.0,-7990494764.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(891.016.881),-,-,-,-,(891.016.881),-891016881.0,,,,,-891016881.0
Tại ngày 31/12/2022,Nguyên giá: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,3.704.480.095.354,1.713.581.524.484,3.521.796.891.909,109.108.184.588,310.221.256.233,9.359.187.952.568,3704480095354.0,1713581524484.0,3521796891909.0,109108184588.0,310221256233.0,9359187952568.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2022,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,1.669.197.161.799,929.739.799.001,1.543.817.321.136,77.283.002.832,52.517.681.344,4.272.554.966.112,1669197161799.0,929739799001.0,1543817321136.0,77283002832.0,52517681344.0,4272554966112.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,146.371.943.825,152.941.274.735,195.716.702.946,8.866.564.078,21.627.035.149,525.523.520.733,146371943825.0,152941274735.0,195716702946.0,8866564078.0,21627035149.0,525523520733.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.353.148.362),(580.007.565),(3.621.734.415),(983.157.897),(1.364.053.636),(7.902.101.875),-1353148362.0,-580007565.0,-3621734415.0,-983157897.0,-1364053636.0,-7902101875.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,(246.960.042),-,-,-,-,(246.960.042),-246960042.0,,,,,-246960042.0
Tại ngày 31/12/2022,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,1.813.968.997.220,1.082.101.066.171,1.735.912.289.667,85.166.409.013,72.780.662.857,4.789.929.424.928,1813968997220.0,1082101066171.0,1735912289667.0,85166409013.0,72780662857.0,4789929424928.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2022,Giá trị còn lại: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,1.751.157.097.867,719.086.293.377,1.785.004.731.952,14.678.018.025,10.562.669.647,4.280.488.810.868,1751157097867.0,719086293377.0,1785004731952.0,14678018025.0,10562669647.0,4280488810868.0
Tại ngày 31/12/2022,Giá trị còn lại: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,1.890.511.098.134,631.480.458.313,1.785.884.602.242,23.941.775.575,237.440.593.376,4.569.258.527.640,1890511098134.0,631480458313.0,1785884602242.0,23941775575.0,237440593376.0,4569258527640.0
