row_label_raw,row_label_full,col_0,Mã số,Năm 2021 VND(Được báo cáo lại),Năm 2021 VND(Đã được báo cáo trước đây),numeric__Mã số,numeric__Năm 2021 VND(Được báo cáo lại),numeric__Năm 2021 VND(Đã được báo cáo trước đây)
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,1.774.264.959.752,1.772.802.301.274,1.0,1774264959752.0,1772802301274.0
Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,778.552.434.042,773.389.231.367,2.0,778552434042.0,773389231367.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,119.615.910.836,118.253.830.309,6.0,119615910836.0,118253830309.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,2.367.459.007.817,2.359.471.066.137,8.0,2367459007817.0,2359471066137.0
"Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,(185.868.688.971),(187.676.475.668),9.0,-185868688971.0,-187676475668.0
"Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,29.503.985.802,49.033.216.504,10.0,29503985802.0,49033216504.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,112.368.999.259,117.845.917.061,11.0,112368999259.0,117845917061.0
"Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,(465.974.275.752),(485.503.506.454),12.0,-465974275752.0,-485503506454.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.136.913.651.181,1.132.594.840.606,20.0,1136913651181.0,1132594840606.0
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(2.075.747.556.467),(2.073.742.622.059),21.0,-2075747556467.0,-2073742622059.0
"Tiền chi cho vay, mua các công cụ nợ của các đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của các đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của các đơn vị khác",23,(2.720.388.876.167),(2.718.075.000.000),23.0,-2720388876167.0,-2718075000000.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.159.966.396.216),(1.155.647.585.641),30.0,-1159966396216.0,-1155647585641.0
