row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phân mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phân mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2022,Nguyên giá: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,470.998.471.655,16.690.473.464,2.994.843.027,490.683.788.146,470998471655.0,16690473464.0,2994843027.0,490683788146.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,932.615.000,-,932.615.000,,932615000.0,,932615000.0
Giảm theo quyết định của Kiểm toán Nhà nước,Nguyên giá: > Giảm theo quyết định của Kiểm toán Nhà nước,Giảm theo quyết định của Kiểm toán Nhà nước,(7.954.872.480),-,-,(7.954.872.480),-7954872480.0,,,-7954872480.0
Tại ngày 31/12/2022,Nguyên giá: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,463.043.599.175,17.623.088.464,2.994.843.027,483.661.530.666,463043599175.0,17623088464.0,2994843027.0,483661530666.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2022,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,121.727.942.087,13.352.820.274,1.952.087.913,137.032.850.274,121727942087.0,13352820274.0,1952087913.0,137032850274.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,8.921.717.496,1.392.966.485,61.611.160,10.376.295.141,8921717496.0,1392966485.0,61611160.0,10376295141.0
Giảm theo quyết định của Kiểm toán Nhà nước,Giá trị hao mòn lũy kế: > Giảm theo quyết định của Kiểm toán Nhà nước,Giảm theo quyết định của Kiểm toán Nhà nước,(818.739.456),-,-,(818.739.456),-818739456.0,,,-818739456.0
Tại ngày 31/12/2022,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,129.830.920.127,14.745.786.759,2.013.699.073,146.590.405.959,129830920127.0,14745786759.0,2013699073.0,146590405959.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2022,Giá trị còn lại: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,349.270.529.568,3.337.653.190,1.042.755.114,353.650.937.872,349270529568.0,3337653190.0,1042755114.0,353650937872.0
Tại ngày 31/12/2022,Giá trị còn lại: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,333.212.679.048,2.877.301.705,981.143.954,337.071.124.707,333212679048.0,2877301705.0,981143954.0,337071124707.0
