row_label_raw,row_label_full,CHÍ TIÊU,Mã số,TM,Năm 2022,Năm 2021,numeric__Mã số,numeric__TM,numeric__Năm 2022,numeric__Năm 2021
III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhân vốn góp của chủ sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhân vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhân vốn góp của chủ sở hữu",31,,-,108.032.700.000,31.0,,,108032700000.0
2. Tiền thu từ đi vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,6.1,2.227.575.071.437,3.081.387.839.194,33.0,61.0,2227575071437.0,3081387839194.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,6.2,(2.217.931.783.493),(2.595.323.910.573),34.0,62.0,-2217931783493.0,-2595323910573.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(738.209.825.385),(646.846.391.920),36.0,,-738209825385.0,-646846391920.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(728.566.537.441),(52.749.763.299),40.0,,-728566537441.0,-52749763299.0
LƯU CHUYẾN THUẢN TRONG NĂM (50 = 20+30+40),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > LƯU CHUYẾN THUẢN TRONG NĂM (50 = 20+30+40),LƯU CHUYẾN THUẢN TRONG NĂM (50 = 20+30+40),50,,55.065.589.690,(75.802.508.334),50.0,,55065589690.0,-75802508334.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,,1.350.305.311.174,1.426.243.405.928,60.0,,1350305311174.0,1426243405928.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,421.804.982,(135.586.420),61.0,,421804982.0,-135586420.0
TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM (70 = 50+60+61),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM (70 = 50+60+61),TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM (70 = 50+60+61),70,4.1,1.405.792.705.846,1.350.305.311.174,70.0,41.0,1405792705846.0,1350305311174.0
