row_label_raw,row_label_full,col_0,Kinh doanhkhu công nghiệp > Năm 2022,Kinh doanhkhu công nghiệp > Năm 2021,Kinh doanhnhà và ha tầng > Năm 2022,Kinh doanhnhà và ha tầng > Năm 2021,Kinh doanhcung cấp nước sach > Năm 2022,Kinh doanhcung cấp nước sach > Năm 2021,Kinh doanhdích vu cảng > Năm 2022,Kinh doanhdích vu cảng > Năm 2021,Kinh doanhxử lý chất thải > Năm 2022,Kinh doanhxử lý chất thải > Năm 2021,Khác > Năm 2022,Khác > Năm 2021,Đơn vị tính: Triệu đồngTổng công > Năm 2022,Đơn vị tính: Triệu đồngTổng công > Năm 2021,numeric__Kinh doanhkhu công nghiệp > Năm 2022,numeric__Kinh doanhkhu công nghiệp > Năm 2021,numeric__Kinh doanhnhà và ha tầng > Năm 2022,numeric__Kinh doanhnhà và ha tầng > Năm 2021,numeric__Kinh doanhcung cấp nước sach > Năm 2022,numeric__Kinh doanhcung cấp nước sach > Năm 2021,numeric__Kinh doanhdích vu cảng > Năm 2022,numeric__Kinh doanhdích vu cảng > Năm 2021,numeric__Kinh doanhxử lý chất thải > Năm 2022,numeric__Kinh doanhxử lý chất thải > Năm 2021,numeric__Khác > Năm 2022,numeric__Khác > Năm 2021,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2022,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2021
Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,Kết quả hoạt động kinh doanh hợp nhất,,,,,,,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh hợp nhất > Kết quả của bộ phận,Kết quả của bộ phận,"680,674","864,963","112,673","349,072","440,881","458,955","365,238","268,203","127,294","111,491","(6,028)","36,098","1,720,732","2,088,782",680.674,864.963,112.673,349.072,440.881,458.955,365.238,268.203,127.294,111.491,-6.028,36.098,,
Chi phí không phân bổ,Kết quả hoạt động kinh doanh hợp nhất > Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,,,,,,"(554,656)","(566,403)",,,,,,,,,,,,,-554.656,-566.403
Phần lãi hoặc lỗ trongcông ty liên kết,Kết quả hoạt động kinh doanh hợp nhất > Phần lãi hoặc lỗ trongcông ty liên kết,Phần lãi hoặc lỗ trongcông ty liên kết,,,,,,,,,,,,,"2,457","(6,886)",,,,,,,,,,,,,2.457,-6.886
Lợi nhuận kháckhông phân bổ,Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận kháckhông phân bổ,Lợi nhuận kháckhông phân bổ,,,,,,,,,,,,,"(14,317)","36,885",,,,,,,,,,,,,-14.317,36.885
"Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính","Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính","Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính",,,,,,,,,,,,,"1,154,216","1,552,378",,,,,,,,,,,,,,
Thu nhập tài chính,"Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính > Thu nhập tài chính",Thu nhập tài chính,,,,,,,,,,,,,"304,171","344,296",,,,,,,,,,,,,304.171,344.296
Chi phí tài chính,"Lợi nhuận trước thuế,thu nhập tài chính vàchi phí tài chính > Chi phí tài chính",Chi phí tài chính,,,,,,,,,,,,,"(138,577)","(122,409)",,,,,,,,,,,,,-138.577,-122.409
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,,,"1,319,810","1,774,265",,,,,,,,,,,,,,
Chi phí thuế TNDN hiện hành,Lợi nhuận trước thuế > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,"(219,618)","(292,314)",,,,,,,,,,,,,-219.618,-292.314
