row_label_raw,row_label_full,col_0,Tại ngày31/12/2022VND,Tại ngày01/01/2022VND,numeric__Tại ngày31/12/2022VND,numeric__Tại ngày01/01/2022VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,2.151.239.001,924.286.453,2151239001.0,924286453.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,3.433.635.801,3.841.179.136,3433635801.0,3841179136.0
Cộng,Ngắn hạn: > Cộng,Cộng,5.584.874.802,4.765.465.589,5584874802.0,4765465589.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,905.470.173.008,912.174.976.796,905470173008.0,912174976796.0
Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thanh Phú,Dài hạn: > Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thanh Phú,Trả trước tiền đến bù giải phóng mặt bằngKhu công nghiệp Thanh Phú,318.499.087.822,287.287.148.603,318499087822.0,287287148603.0
"Công cụ, dụng cụ","Dài hạn: > Công cụ, dụng cụ","Công cụ, dụng cụ",10.518.144.007,6.452.326.585,10518144007.0,6452326585.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,327.140.499.156,218.689.458.884,327140499156.0,218689458884.0
Cộng,Dài hạn: > Cộng,Cộng,1.561.627.903.993,1.424.603.910.868,1561627903993.0,1424603910868.0
