row_label_raw,row_label_full,Khoản mục,"Chỉ phí đền bù, giải tỏa VND",Cơ sở hạ tầng VND,"Nhà cửa, vật kiến trúc VND","Phương tiện vận tải, truyền dẫn VND",BDS đầu tư khác VND,Cộng VND,"numeric__Chỉ phí đền bù, giải tỏa VND",numeric__Cơ sở hạ tầng VND,"numeric__Nhà cửa, vật kiến trúc VND","numeric__Phương tiện vận tải, truyền dẫn VND",numeric__BDS đầu tư khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2022,Nguyên giá: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,844.000.625.565,1.746.975.245.692,1.720.400.934.676,81.535.118.254,4.545.904.603,4.397.457.828.790,844000625565.0,1746975245692.0,1720400934676.0,81535118254.0,4545904603.0,4397457828790.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,1.388.164.742.456,196.871.538.090,65.339.999.217,287.124.444,1.650.663.404.207,,1388164742456.0,196871538090.0,65339999217.0,287124444.0,1650663404207.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,5.037.092.586,-,-,-,5.037.092.586,,5037092586.0,,,,5037092586.0
Chuyển sang hàng tồn kho,Nguyên giá: > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,-,(18.884.037.656),-,-,(18.884.037.656),,,-18884037656.0,,,-18884037656.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(34.241.697),-,-,-,(34.241.697),,-34241697.0,,,,-34241697.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(449.675.455),(519.270.420),(19.501.852),-,(988.447.727),,-449675455.0,-519270420.0,-19501852.0,,-988447727.0
Tại ngày 31/12/2022,Nguyên giá: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,844.000.625.565,3.139.693.163.582,1.897.869.164.690,146.855.615.619,4.833.029.047,6.033.251.598.503,844000625565.0,3139693163582.0,1897869164690.0,146855615619.0,4833029047.0,6033251598503.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2022,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,348.343.904.425,628.559.511.808,662.640.950.129,45.289.118.237,3.804.051.499,1.688.637.536.098,348343904425.0,628559511808.0,662640950129.0,45289118237.0,3804051499.0,1688637536098.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,13.547.560.318,285.783.571.962,77.129.173.740,8.027.744.632,216.875.195,384.704.925.847,13547560318.0,285783571962.0,77129173740.0,8027744632.0,216875195.0,384704925847.0
Chuyển sang hàng tồn kho,Giá trị hao mòn lũy kế: > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,-,(2.124.021.522),-,-,(2.124.021.522),,,-2124021522.0,,,-2124021522.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(34.241.697),-,-,-,(34.241.697),,-34241697.0,,,,-34241697.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,(59.955.959),(65.618.560),(348.247),-,(125.922.766),,-59955959.0,-65618560.0,-348247.0,,-125922766.0
Tại ngày 31/12/2022,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,361.891.464.743,914.248.886.114,737.580.483.787,53.316.514.622,4.020.926.694,2.071.058.275.960,361891464743.0,914248886114.0,737580483787.0,53316514622.0,4020926694.0,2071058275960.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2022,Giá trị còn lại: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,495.656.721.140,1.118.415.733.884,1.057.759.984.547,36.246.000.017,741.853.104,2.708.820.292.692,495656721140.0,1118415733884.0,1057759984547.0,36246000017.0,741853104.0,2708820292692.0
Tại ngày 31/12/2022,Giá trị còn lại: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,482.109.160.822,2.225.444.277.468,1.160.288.680.903,93.539.100.997,812.102.353,3.962.193.322.543,482109160822.0,2225444277468.0,1160288680903.0,93539100997.0,812102353.0,3962193322543.0
