row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,Ghi chú,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh,numeric__Ghi chú
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,-,562,562,,71.0,,562.0,562.0,
Bảo cáo lưu chuyển tiền tệ,Bảo cáo lưu chuyển tiền tệ,Bảo cáo lưu chuyển tiền tệ,Bảo cáo lưu chuyển tiền tệ,Bảo cáo lưu chuyển tiền tệ,Bảo cáo lưu chuyển tiền tệ,Bảo cáo lưu chuyển tiền tệ,Bảo cáo lưu chuyển tiền tệ,,,,,
Khẩu hao tài sản cố định và bắt động sản đầu tư,Bảo cáo lưu chuyển tiền tệ > Khẩu hao tài sản cố định và bắt động sản đầu tư,Khẩu hao tài sản cố định và bắt động sản đầu tư,02,109.483.282.405,121.067.200,109.604.349.605,,2.0,109483282405.0,121067200.0,109604349605.0,
"Lãi, lỗ từ hoạt động đầu tư","Bảo cáo lưu chuyển tiền tệ > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,(254.978.609.329),(22.794.113.733),(277.772.723.062),,5.0,-254978609329.0,-22794113733.0,-277772723062.0,
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Bảo cáo lưu chuyển tiền tệ > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,181.659.687.904,(22.673.046.533),158.986.641.371,,8.0,181659687904.0,-22673046533.0,158986641371.0,
"Tăng, giảm các khoản phải thu","Bảo cáo lưu chuyển tiền tệ > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,(83.066.445.554),(77.154.773.022),(160.221.218.576),,9.0,-83066445554.0,-77154773022.0,-160221218576.0,
"Tăng, giảm các khoản phải trả","Bảo cáo lưu chuyển tiền tệ > Tăng, giảm các khoản phải trả","Tăng, giảm các khoản phải trả",11,181.481.687.676,24.779.279.851,206.260.967.527,,11.0,181481687676.0,24779279851.0,206260967527.0,
"Tăng, giảm chứng khoán kinh doanh","Bảo cáo lưu chuyển tiền tệ > Tăng, giảm chứng khoán kinh doanh","Tăng, giảm chứng khoán kinh doanh",13,(124.188.513.482),(24.750.000.000),(148.938.513.482),,13.0,-124188513482.0,-24750000000.0,-148938513482.0,
Tiền thu khác từ hoạt động kinh doanh,Bảo cáo lưu chuyển tiền tệ > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,287.580.000,(98.580.000),189.000.000,,16.0,287580000.0,-98580000.0,189000000.0,
Tiền chi khác cho hoạt động kinh doanh,Bảo cáo lưu chuyển tiền tệ > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(1.564.605.200),44.200.000,(1.520.405.200),,17.0,-1564605200.0,44200000.0,-1520405200.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Bảo cáo lưu chuyển tiền tệ > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(8.681.932.496),(99.852.919.704),(108.534.852.200),,20.0,-8681932496.0,-99852919704.0,-108534852200.0,
"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","Bảo cáo lưu chuyển tiền tệ > Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,3.149.200.000,30.000.000,3.179.200.000,,22.0,3149200000.0,30000000.0,3179200000.0,
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Bảo cáo lưu chuyển tiền tệ > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(6.367.839.386.931),4.788.010.286.931,(1.579.829.100.000),,23.0,-6367839386931.0,4788010286931.0,-1579829100000.0,
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Bảo cáo lưu chuyển tiền tệ > Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,6.675.236.071.993,(5.191.778.904.381),1.483.457.167.612,,24.0,6675236071993.0,-5191778904381.0,1483457167612.0,
"Tiền chi đầu tư, góp vốn vào đơn vị khác","Bảo cáo lưu chuyển tiền tệ > Tiền chi đầu tư, góp vốn vào đơn vị khác","Tiền chi đầu tư, góp vốn vào đơn vị khác",25,(417.571.645.259),417.571.645.259,-,,25.0,-417571645259.0,417571645259.0,,
"Tiền thu hồi đầu tư, góp vốn vào đơn vị khác","Bảo cáo lưu chuyển tiền tệ > Tiền thu hồi đầu tư, góp vốn vào đơn vị khác","Tiền thu hồi đầu tư, góp vốn vào đơn vị khác",26,405.635.980.000,11.242.097.241,416.878.077.241,,26.0,405635980000.0,11242097241.0,416878077241.0,
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Bảo cáo lưu chuyển tiền tệ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,128.944.707.678,(60.222.205.346),68.722.502.332,,27.0,128944707678.0,-60222205346.0,68722502332.0,
