row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,1.952.147.705.469,1.236.894.840.351,,1.0,,1952147705469.0,1236894840351.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,VI.2,34.938.161.041,16.333.953.136,,2.0,,34938161041.0,16333953136.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,1.917.209.544.428,1.220.560.887.215,,10.0,,1917209544428.0,1220560887215.0
4.,4.,4.,Giá vốn hàng bán,11,VI.3,1.458.235.418.289,914.096.834.939,,11.0,,1458235418289.0,914096834939.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,458.974.126.139,306.464.052.276,,20.0,,458974126139.0,306464052276.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.4,220.002.945.181,429.906.933.445,,21.0,,220002945181.0,429906933445.0
7.,7.,7.,Chi phí tài chính,22,VI.5,105.879.229.879,165.562.667.287,,22.0,,105879229879.0,165562667287.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,59.162.043.989,43.680.412.811,,23.0,,59162043989.0,43680412811.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(9.897.494.732),(9.916.453.762),,24.0,,-9897494732.0,-9916453762.0
9.,9.,9.,Chi phí bán hàng,25,VI.8,220.922.946.690,139.368.317.397,,25.0,,220922946690.0,139368317397.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.9,230.772.885.147,151.248.465.406,,26.0,,230772885147.0,151248465406.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,111.504.514.872,270.275.081.869,,30.0,,111504514872.0,270275081869.0
12.,12.,12.,Thu nhập khác,31,VI.6,7.256.647.058,8.930.778.349,,31.0,,7256647058.0,8930778349.0
13.,13.,13.,Chi phí khác,32,VI.7,2.986.204.508,763.492.165,,32.0,,2986204508.0,763492165.0
14.,14.,14.,Lợi nhuận khác,40,,4.270.442.550,8.167.286.184,,40.0,,4270442550.0,8167286184.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,115.774.957.422,278.442.368.053,,50.0,,115774957422.0,278442368053.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,V.17,44.274.559.798,53.771.360.830,,51.0,,44274559798.0,53771360830.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,(104.004.728),(6.800.183.452),,52.0,,-104004728.0,-6800183452.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,71.604.402.352,231.471.190.675,,60.0,,71604402352.0,231471190675.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,48.289.456.878,157.968.627.218,,61.0,,48289456878.0,157968627218.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,23.314.945.474,73.502.563.457,,62.0,,23314945474.0,73502563457.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.8,152,562,,70.0,,152.0,562.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,VI.8,152,562,,71.0,,152.0,562.0
