row_label_raw,row_label_full,CHỈ TIÊU,Mã số minh,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Mã số minh,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,,,
Lợi nhuận trước thuế,1. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,115.774.957.422,278.442.368.053,1.0,115774957422.0,278442368053.0
Điều chỉnh cho các khoản:- Khấu hao tài sản cố định và bất động sản đầu tư,1. Lưu chuyển tiền từ hoạt động kinh doanh > Điều chỉnh cho các khoản:- Khấu hao tài sản cố định và bất động sản đầu tư,Điều chỉnh cho các khoản:- Khấu hao tài sản cố định và bất động sản đầu tư,02,149.857.719.038,109.604.349.605,2.0,149857719038.0,109604349605.0
- Các khoản dự phòng,1. Lưu chuyển tiền từ hoạt động kinh doanh > - Các khoản dự phòng,- Các khoản dự phòng,03,27.827.972.014,5.327.960.320,3.0,27827972014.0,5327960320.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","1. Lưu chuyển tiền từ hoạt động kinh doanh > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ",04,2.384.458.502,(295.726.356),4.0,2384458502.0,-295726356.0
"- Lãi, lỗ từ hoạt động đầu tư","1. Lưu chuyển tiền từ hoạt động kinh doanh > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(63.560.576.195),(277.772.723.062),5.0,-63560576195.0,-277772723062.0
- Chi phí lãi vay,1. Lưu chuyển tiền từ hoạt động kinh doanh > - Chi phí lãi vay,- Chi phí lãi vay,06,59.162.043.989,43.680.412.811,6.0,59162043989.0,43680412811.0
- Các khoản điều chỉnh khác,1. Lưu chuyển tiền từ hoạt động kinh doanh > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,07,-,,7.0,,
3. Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu động,1. Lưu chuyển tiền từ hoạt động kinh doanh > 3. Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu động,08,291.446.574.770,158.986.641.371,8.0,291446574770.0,158986641371.0
"- Tăng, giảm các khoản phải thu","1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(1.708.783.723.381),(160.221.218.576),9.0,-1708783723381.0,-160221218576.0
"- Tăng, giảm hàng tồn kho","1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,(20.734.673.954),(70.065.984.704),10.0,-20734673954.0,-70065984704.0
"- Tăng, giảm các khoản phải trả","1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,(306.675.910.261),206.260.967.527,11.0,-306675910261.0,206260967527.0
"- Tăng, giảm chi phí trả trước","1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,(14.658.773.421),773.718.932,12.0,-14658773421.0,773718932.0
"- Tăng, giảm chứng khoán kinh doanh","1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tăng, giảm chứng khoán kinh doanh","- Tăng, giảm chứng khoán kinh doanh",13,191.743.603.135,(148.938.513.482),13.0,191743603135.0,-148938513482.0
- Tiền lãi vay đã trả,1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(60.205.922.843),(43.646.733.007),14.0,-60205922843.0,-43646733007.0
- Thuế thu nhập doanh nghiệp đã nộp,1. Lưu chuyển tiền từ hoạt động kinh doanh > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,(45.260.292.507),(50.352.325.061),15.0,-45260292507.0,-50352325061.0
- Tiền thu khác từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tiền thu khác từ hoạt động kinh doanh,- Tiền thu khác từ hoạt động kinh doanh,16,2.500.000,189.000.000,16.0,2500000.0,189000000.0
- Tiền chi khác cho hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh > - Tiền chi khác cho hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,17,(2.880.041.006),(1.520.405.200),17.0,-2880041006.0,-1520405200.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(1.676.006.659.468),(108.534.852.200),20.0,-1676006659468.0,-108534852200.0
