row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,Ghi chú,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh,numeric__Ghi chú
Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,,,,,
Tiền và các khoản tương đương tiền,Băng cân đối kế toán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,297.433.758.581,(135.000.000.000),162.433.758.581,,110.0,297433758581.0,-135000000000.0,162433758581.0,
Các khoản tương đương tiền,Băng cân đối kế toán > Các khoản tương đương tiền,Các khoản tương đương tiền,112,161.345.945.205,(135.000.000.000),26.345.945.205,,112.0,161345945205.0,-135000000000.0,26345945205.0,
Đầu tư tài chính ngắn hạn,Băng cân đối kế toán > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,2.346.857.554.157,(1.043.203.963.522),1.303.653.590.635,,120.0,2346857554157.0,-1043203963522.0,1303653590635.0,
Đầu tư nằm giữ đến ngày đáo hạn,Băng cân đối kế toán > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,1.977.033.063.522,(1.043.203.963.522),933.829.100.000,,123.0,1977033063522.0,-1043203963522.0,933829100000.0,
Các khoản phải thu ngắn hạn,Băng cân đối kế toán > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,635.654.617.950,1.178.203.963.522,1.813.858.581.472,,130.0,635654617950.0,1178203963522.0,1813858581472.0,
Phải thu ngắn hạn của khách hàng,Băng cân đối kế toán > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,553.965.518.961,(195.940.146.389),358.025.372.572,,131.0,553965518961.0,-195940146389.0,358025372572.0,
Phải thu ngắn hạn khác,Băng cân đối kế toán > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,100.848.698.311,1.374.144.109.911,1.474.992.808.222,,136.0,100848698311.0,1374144109911.0,1474992808222.0,
Tài sản cố định,Băng cân đối kế toán > Tài sản cố định,Tài sản cố định,220,666.743.113.460,5.610.794.083,672.353.907.543,,220.0,666743113460.0,5610794083.0,672353907543.0,
Tài sản cố định vô hình,Băng cân đối kế toán > Tài sản cố định vô hình,Tài sản cố định vô hình,227,94.989.137.227,5.610.794.083,100.599.931.310,,227.0,94989137227.0,5610794083.0,100599931310.0,
Nguyên giá,Băng cân đối kế toán > Nguyên giá,Nguyên giá,228,106.098.205.814,5.610.794.083,111.708.999.897,,228.0,106098205814.0,5610794083.0,111708999897.0,
Tài sản dở dang dài hạn,Băng cân đối kế toán > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,47.606.408.831,(5.610.794.083),41.995.614.748,,240.0,47606408831.0,-5610794083.0,41995614748.0,
Chi phí xây dựng cơ bản dở dang,Băng cân đối kế toán > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,37.553.424.177,(5.610.794.083),31.942.630.094,,242.0,37553424177.0,-5610794083.0,31942630094.0,
Nợ ngắn hạn,Băng cân đối kế toán > Nợ ngắn hạn,Nợ ngắn hạn,310,1.159.012.073.580,58.431.883.500,1.217.443.957.080,,310.0,1159012073580.0,58431883500.0,1217443957080.0,
Phải trả ngắn hạn khác,Băng cân đối kế toán > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,233.602.552.477,58.431.883.500,292.034.435.977,,319.0,233602552477.0,58431883500.0,292034435977.0,
Vốn chủ sở hữu,Băng cân đối kế toán > Vốn chủ sở hữu,Vốn chủ sở hữu,410,4.699.708.931.418,(58.431.883.500),4.641.277.047.918,,410.0,4699708931418.0,-58431883500.0,4641277047918.0,
Lợi nhuận sau thuế chưa phân phối,Băng cân đối kế toán > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,527.630.076.345,(33.921.546.810),493.708.529.535,,421.0,527630076345.0,-33921546810.0,493708529535.0,
Lợi ích cổ đông không kiểm soát,Băng cân đối kế toán > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,1.388.387.415.703,(24.510.336.690),1.363.877.079.013,,429.0,1388387415703.0,-24510336690.0,1363877079013.0,
Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,,,,,
Lãi cơ bản trên cổ phiếu,Báo cáo kết quả kinh doanh > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,620,(58),562,,70.0,620.0,-58.0,562.0,
