row_label_raw,row_label_full,col_0,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Giống cây trồng Nông Tín,Công ty Cổ phần Nước khoáng Khánh Hòa (i),Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu miền Tây,Cộng,numeric__Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,numeric__Công ty Cổ phần Dược phẩm Cửu Long,numeric__Công ty Cổ phần Giống cây trồng Nông Tín,numeric__Công ty Cổ phần Nước khoáng Khánh Hòa (i),numeric__Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu miền Tây,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,6.387.565.874,163.255.255.818,12.864.385.324,620.990.283.326,4.723.270.846,808.220.761.189,6387565874.0,163255255818.0,12864385324.0,620990283326.0,4723270846.0,808220761189.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,6.387.565.874,163.255.255.818,12.864.385.324,620.990.283.326,4.723.270.846,808.220.761.189,6387565874.0,163255255818.0,12864385324.0,620990283326.0,4723270846.0,808220761189.0
Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,Số đã phân bổ,,,,,,
Số đầu năm,Số đã phân bổ > Số đầu năm,Số đầu năm,187.869.585,108.156.606.977,8.361.850.460,31.049.514.166,4.723.270.846,152.479.112.035,187869585.0,108156606977.0,8361850460.0,31049514166.0,4723270846.0,152479112035.0
Phân bổ trong năm,Số đã phân bổ > Phân bổ trong năm,Phân bổ trong năm,2.254.435.014,16.325.525.580,1.286.438.534,62.099.028.332,-,81.965.427.460,2254435014.0,16325525580.0,1286438534.0,62099028332.0,,81965427460.0
Số cuối năm,Số đã phân bổ > Số cuối năm,Số cuối năm,2.442.304.599,124.482.132.557,9.648.288.994,93.148.542.498,4.723.270.846,234.444.539.495,2442304599.0,124482132557.0,9648288994.0,93148542498.0,4723270846.0,234444539495.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,6.199.696.289,55.098.648.841,4.502.534.864,589.940.769.160,-,655.741.649.154,6199696289.0,55098648841.0,4502534864.0,589940769160.0,,655741649154.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.945.261.275,38.773.123.261,3.216.096.330,527.841.740.828,-,573.776.221.694,3945261275.0,38773123261.0,3216096330.0,527841740828.0,,573776221694.0
