row_label_raw,row_label_full,col_0,Vay Bên liên quan,Vay Ngân hàng,Vay ngắn hạn các tổ chức khác,Vay dài hạn đến hạn trả,Nợ thuê tài chính đến hạn trả,Tổng,numeric__Vay Bên liên quan,numeric__Vay Ngân hàng,numeric__Vay ngắn hạn các tổ chức khác,numeric__Vay dài hạn đến hạn trả,numeric__Nợ thuê tài chính đến hạn trả,numeric__Tổng
Số đầu năm,Số đầu năm,Số đầu năm,-,600.271.934.262,100.000.000.000,35.011.054.950,-,735.282.989.212,,600271934262.0,100000000000.0,35011054950.0,,735282989212.0
Số tiền vay phát sinh trong năm,Số tiền vay phát sinh trong năm,Số tiền vay phát sinh trong năm,80.170.720.000,2.870.050.308.550,241.149.158.970,-,-,3.111.199.467.520,80170720000.0,2870050308550.0,241149158970.0,,,3111199467520.0
Kết chuyển từ vay và nợ dài hạn,Kết chuyển từ vay và nợ dài hạn,Kết chuyển từ vay và nợ dài hạn,-,-,-,62.749.269.469,3.580.080.000,66.329.349.469,,,,62749269469.0,3580080000.0,66329349469.0
Số tiền vay đã trả trong năm,Số tiền vay đã trả trong năm,Số tiền vay đã trả trong năm,(80.170.720.000),(2.869.920.927.519),(302.145.117.201),(35.012.550.532),-,(3.207.078.595.252),-80170720000.0,-2869920927519.0,-302145117201.0,-35012550532.0,,-3207078595252.0
Chênh lệch tỷ giá chưa thực hiện tại ngày kết thúc năm,Chênh lệch tỷ giá chưa thực hiện tại ngày kết thúc năm,Chênh lệch tỷ giá chưa thực hiện tại ngày kết thúc năm,-,1.415.871.680,-,-,-,1.415.871.680,,1415871680.0,,,,1415871680.0
Số cuối năm,Số cuối năm,Số cuối năm,,601.817.186.973,39.004.041.769,62.747.773.887,3.580.080.000,707.149.082.629,,601817186973.0,39004041769.0,62747773887.0,3580080000.0,707149082629.0
