row_label_raw,row_label_full,Họ và tên,Chức vụ,Thời gian đảm nhiệm,numeric__Chức vụ,numeric__Thời gian đảm nhiệm
Ông Nguyễn Văn Sang,Ông Nguyễn Văn Sang,Ông Nguyễn Văn Sang,Chủ tịch Hội đồng quản trị,Từ ngày 27 tháng 4 năm 2018,,
Bà Nguyễn Thị Hoài,Bà Nguyễn Thị Hoài,Bà Nguyễn Thị Hoài,Tổng Giám đốc,Từ ngày 04 tháng 4 năm 2022,,
Ông Nguyễn Ngọc Bích,Ông Nguyễn Ngọc Bích,Ông Nguyễn Ngọc Bích,Tổng Giám đốc,Từ ngày 05 tháng 01 năm 2022 đến ngày 04 tháng 4 năm 2022,,
Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Tổng Giám đốc,Đến ngày 05 tháng 01 năm 2022,,
