row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ phần sở hữu,Tỷ lệ phần sở hữu_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ phần sở hữu_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
Công ty Cổ phần FIT Cosmetics (i),Tên công ty > Công ty Cổ phần FIT Cosmetics (i),Công ty Cổ phần FIT Cosmetics (i),"276 Nguyễn Đình Chiều, phường Võ Thị Sáu, Quận 3, thành phố Hồ Chí Minh",Phân phối ngành hóa mỹ phẩm,"24,79%","25,35%","49,00%","49,00%",,,0.24789999999999998,0.2535,0.49,0.49
Công ty Cổ phần Cap Padaran Mũi Dinh (ii),Tên công ty > Công ty Cổ phần Cap Padaran Mũi Dinh (ii),Công ty Cổ phần Cap Padaran Mũi Dinh (ii),"Lầu 4 tòa nhà Sacombank 757 đường Thống Nhất, Phường Kinh Dinh, TP. Phan Rang-Tháp Chảm, Tỉnh Ninh Thuận, Việt Nam","Dịch vụ hỗ trợ liên quan đến vận tải, dịch vụ lưu trú ngắn ngày, dịch vụ ăn uống phục vụ lưu động, bán buôn đồ uống","49,95%","49,84%","50,00%","50,00%",,,0.49950000000000006,0.4984,0.5,0.5
