row_label_raw,row_label_full,col_0,Số đầu năm,Chi phí phát sinh trong năm,Kết chuyển vào TSCĐ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Chi phí phát sinh trong năm,numeric__Kết chuyển vào TSCĐ trong năm,numeric__Số cuối năm
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,3.821.559.896,41.022.513.072,(41.549.342.072),3.294.730.896,3821559896.0,41022513072.0,-41549342072.0,3294730896.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,28.121.070.198,181.605.627.228,(500.000.000),209.226.697.426,28121070198.0,181605627228.0,-500000000.0,209226697426.0
Đầu tư xây dựng nhà máy tại Hậu Giang (i),Đầu tư xây dựng nhà máy tại Hậu Giang (i),Đầu tư xây dựng nhà máy tại Hậu Giang (i),4.888.387.833,-,-,4.888.387.833,4888387833.0,,,4888387833.0
Công trình Nhà máy Vikimco (ii),Công trình Nhà máy Vikimco (ii),Công trình Nhà máy Vikimco (ii),17.606.395.500,22.582.414.295,-,40.188.809.795,17606395500.0,22582414295.0,,40188809795.0
Công trình Nhà máy tại Long An (iii),Công trình Nhà máy tại Long An (iii),Công trình Nhà máy tại Long An (iii),-,158.335.290.932,-,158.335.290.932,,158335290932.0,,158335290932.0
Bản quyền phân phối thuốc độc quyền (iv),Bản quyền phân phối thuốc độc quyền (iv),Bản quyền phân phối thuốc độc quyền (iv),4.790.945.000,-,-,4.790.945.000,4790945000.0,,,4790945000.0
Dự án khác,Dự án khác,Dự án khác,835.341.865,687.922.001,(500.000.000),1.023.263.866,835341865.0,687922001.0,-500000000.0,1023263866.0
Cộng,Cộng,Cộng,31.942.630.094,222.628.140.300,(42.049.342.072),212.521.428.322,31942630094.0,222628140300.0,-42049342072.0,212521428322.0
