row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,467.835.616,,1.535.397.261,,467835616.0,,1535397261.0,
Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,3.379.526.787,,1.123.225.075,,3379526787.0,,1123225075.0,
Công ty Cổ phần Mũi Dinh Ecopark,Công ty Cổ phần Mũi Dinh Ecopark,Công ty Cổ phần Mũi Dinh Ecopark,-,,2.887.726,,,,2887726.0,
Ông Cao Trọng Hoan,Ông Cao Trọng Hoan,Ông Cao Trọng Hoan,539.752.856,,20.939.446.579,,539752856.0,,20939446579.0,
Công ty Cổ phần Đầu tư - Xây dựng và Kinh doanh Nhà Sài Gòn,Công ty Cổ phần Đầu tư - Xây dựng và Kinh doanh Nhà Sài Gòn,Công ty Cổ phần Đầu tư - Xây dựng và Kinh doanh Nhà Sài Gòn,1.806.214.506,,1.573.357.589,,1806214506.0,,1573357589.0,
"Các khoản thu hộ, chi hộ","Các khoản thu hộ, chi hộ","Các khoản thu hộ, chi hộ",5.251.988.160,,5.270.200.793,,5251988160.0,,5270200793.0,
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,5.251.988.160,,5.270.200.793,,5251988160.0,,5270200793.0,
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,2.706.059.927.977,(3.500.000.000),1.194.022.058.399,(3.715.143.728),2706059927977.0,-3500000000.0,1194022058399.0,-3715143728.0
Phải thu gốc hợp tác đầu tư (ii),Phải thu gốc hợp tác đầu tư (ii),Phải thu gốc hợp tác đầu tư (ii),2.054.990.459.944,-,660.155.268.778,(215.143.728),2054990459944.0,,660155268778.0,-215143728.0
Công ty Cổ phần Đầu tư Thương mại Hoa Sen Việt Nam (ii),Công ty Cổ phần Đầu tư Thương mại Hoa Sen Việt Nam (ii),Công ty Cổ phần Đầu tư Thương mại Hoa Sen Việt Nam (ii),387.000.000.000,,136.701.166.298,,387000000000.0,,136701166298.0,
Công ty Cổ phần Đầu tư và Thương mại Phố Hiến Việt Nam (ii),Công ty Cổ phần Đầu tư và Thương mại Phố Hiến Việt Nam (ii),Công ty Cổ phần Đầu tư và Thương mại Phố Hiến Việt Nam (ii),491.530.000.000,,245.385.000.000,,491530000000.0,,245385000000.0,
Công ty Cổ phần Đầu tư Trí Việt (ii),Công ty Cổ phần Đầu tư Trí Việt (ii),Công ty Cổ phần Đầu tư Trí Việt (ii),394.735.000.000,,109.850.000.000,,394735000000.0,,109850000000.0,
Công ty Cổ phần Đầu tư và Thương mại Trống Đồng (ii),Công ty Cổ phần Đầu tư và Thương mại Trống Đồng (ii),Công ty Cổ phần Đầu tư và Thương mại Trống Đồng (ii),419.900.000.000,,-,,419900000000.0,,,
Công ty Cổ phần Thương mại Dịch vụ và Đầu tư KVN Việt Nam (ii),Công ty Cổ phần Thương mại Dịch vụ và Đầu tư KVN Việt Nam (ii),Công ty Cổ phần Thương mại Dịch vụ và Đầu tư KVN Việt Nam (ii),40.000.000.000,,-,,40000000000.0,,,
