row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,71.652.812.923,50.892.328.692,122.545.141.615,71652812923.0,50892328692.0,122545141615.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(372.708.193),-,(372.708.193),-372708193.0,,-372708193.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,71.280.104.730,50.892.328.692,122.172.433.422,71280104730.0,50892328692.0,122172433422.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưngvấn còn sử dụng,Trong đó: > Đã khấu hao hết nhưngvấn còn sử dụng,Đã khấu hao hết nhưngvấn còn sử dụng,-,6.187.542.786,6.187.542.786,,6187542786.0,6187542786.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,-,12.163.318.177,12.163.318.177,,12163318177.0,12163318177.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,-,1.073.473.020,1.073.473.020,,1073473020.0,1073473020.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,-,13.236.791.197,13.236.791.197,,13236791197.0,13236791197.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,71.652.812.923,38.729.010.515,110.381.823.438,71652812923.0,38729010515.0,110381823438.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,71.280.104.730,37.655.537.495,108.935.642.225,71280104730.0,37655537495.0,108935642225.0
