row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số đầu năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý_1
Cổ phiếu,Cổ phiếu,Cổ phiếu,183.020.000.000,(5.418.875.000),706.125.000,323.556.877.135,(4.939.112.500),1.191.602.514,183020000000.0,-5418875000.0,706125000.0,323556877135.0,-4939112500.0,1191602514.0
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,-,-,,5.715.014,-,5.715.014,,,,5715014.0,,5715014.0
Cổ phiếu sànUPCOM,Cổ phiếu sànUPCOM,Cổ phiếu sànUPCOM,6.125.000.000,(5.418.875.000),706.125.000,6.125.000.000,(4.939.112.500),1.185.887.500,6125000000.0,-5418875000.0,706125000.0,6125000000.0,-4939112500.0,1185887500.0
Cổ phiếu không niêm yết,Cổ phiếu không niêm yết,Cổ phiếu không niêm yết,176.895.000.000,-,,317.426.162.121,-,,176895000000.0,,,317426162121.0,,
Trái phiếu,Trái phiếu,Trái phiếu,-,-,,51.206.726.000,-,51.206.726.000,,,,51206726000.0,,51206726000.0
