row_label_raw,row_label_full,Ngân hàng,Hạn mức,Thời hạn,Lãi suất,numeric__Hạn mức,numeric__Thời hạn,numeric__Lãi suất
Công ty Cổ phần Chứng khoán Vndirect (Công ty Mẹ),Công ty Cổ phần Chứng khoán Vndirect (Công ty Mẹ),Công ty Cổ phần Chứng khoán Vndirect (Công ty Mẹ),40 tỷ VND,Tối đa 03 tháng,12%,,,0.12
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (TSC vay),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (TSC vay),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Cần Thơ (TSC vay),50 tỷ VND,Không quá 12 tháng,"1,7%-2,4%",,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Khánh Hòa (TSC vay),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Khánh Hòa (TSC vay),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Khánh Hòa (TSC vay),25 tỷ VND,Không quá 12 tháng,"5,2%-5,5%",,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (TSC vay),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (TSC vay),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (TSC vay),25 tỷ VND,Không quá 12 tháng,"4,75%-6,8%",,,
Khoản vay Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hai Bà Trưng (FXK vay thầu chỉ),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (TSC vay) > Khoản vay Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hai Bà Trưng (FXK vay thầu chỉ),Khoản vay Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hai Bà Trưng (FXK vay thầu chỉ),"19,999 tỷ VND",Không quá 59 ngày,"4,9%",,,0.049
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Vĩnh Long (DCL vay),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (TSC vay) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Vĩnh Long (DCL vay),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Vĩnh Long (DCL vay),50 tỷ VND,không quá 12 tháng,"7,1%",,,0.071
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vĩnh Long (DCL vay),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh huyện Diên Khánh (TSC vay) > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vĩnh Long (DCL vay),Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Vĩnh Long (DCL vay),100 tỷ VND,không quá 06 tháng,"6,7%",,,0.067
Ngân hàng TMCP Quân đội - Chi nhánh Cần Thơ (DCL vay),Ngân hàng TMCP Quân đội - Chi nhánh Cần Thơ (DCL vay),Ngân hàng TMCP Quân đội - Chi nhánh Cần Thơ (DCL vay),100 tỷ VND,không quá 06 tháng,"7,63% -7,64%",,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Cần Thơ (DCL vay),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Cần Thơ (DCL vay),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Cần Thơ (DCL vay),50 tỷ VND,từ 08/06/2022 đến 31/12/2022,"8,5% - 8,9%",,,
Ngân hàng TNHH MTV Public Việt Nam – chi nhánh Thanh Xuân (DCL vay),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Cần Thơ (DCL vay) > Ngân hàng TNHH MTV Public Việt Nam – chi nhánh Thanh Xuân (DCL vay),Ngân hàng TNHH MTV Public Việt Nam – chi nhánh Thanh Xuân (DCL vay),50 tỷ VND,không quá 12 tháng,7%,,,0.07
