row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 679.412.837.390 > 977.368.914.873,VNDNăm trước > 239.436.357.300 > 1.086.196.770.013,numeric__Năm nay > 679.412.837.390 > 977.368.914.873,numeric__VNDNăm trước > 239.436.357.300 > 1.086.196.770.013
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,120.000.000.000,-,120000000000.0,
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(285.934.428),-,-285934428.0,
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,1.136.230.000,-,1136230000.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(198.881.118),-,-198881118.0,
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(1.001.839.260.620),(646.220.289.923),-1001839260620.0,-646220289923.0
Số cuối năm,Số cuối năm,Số cuối năm,775.593.906.097,679.412.837.390,775593906097.0,679412837390.0
