row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 150.331.254.349,Số phải nộp trong năm > 245.167.781.610,Số đã nộp trong năm > (269.558.491.959),Tăng do mua công ty con > 6.546.960.410,Giảm do thanh lý công ty con > (1.920.610.291),Số cuối năm > 130.566.894.119,numeric__Số đầu năm > 150.331.254.349,numeric__Số phải nộp trong năm > 245.167.781.610,numeric__Số đã nộp trong năm > (269.558.491.959),numeric__Tăng do mua công ty con > 6.546.960.410,numeric__Giảm do thanh lý công ty con > (1.920.610.291),numeric__Số cuối năm > 130.566.894.119
Thuế TNDN,Thuế TNDN,Thuế TNDN,415.098.945.233,313.628.732.003,(316.889.448.891),16.454.168.347,(9.515.495.195),418.776.901.497,415098945233.0,313628732003.0,-316889448891.0,16454168347.0,-9515495195.0,418776901497.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,25.168.192.978,88.988.705.481,(81.571.114.054),5.365.175.093,(1.028.542.854),36.922.416.644,25168192978.0,88988705481.0,-81571114054.0,5365175093.0,-1028542854.0,36922416644.0
Khác,Khác,Khác,455.686.094,8.326.926.396,(3.928.758.208),39.042.613,(31.709.339),4.861.187.556,455686094.0,8326926396.0,-3928758208.0,39042613.0,-31709339.0,4861187556.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,591.054.078.654,656.112.145.490,(671.947.813.112),28.405.346.463,(12.496.357.679),591.127.399.816,591054078654.0,656112145490.0,-671947813112.0,28405346463.0,-12496357679.0,591127399816.0
